Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,Control cells,ligand control cells,nanoparticle control cells,drug-treated cells
Akt,R,AKT1,V,GBL1102421,Akt-R-V,0.96100688,11,Akt-R-V,NormLog2,-0.032412404,0.118759861,0.005409667,-0.522570404
Akt_pS473,R,AKT1,V,GBL1102418,Akt_pS473-R-V,0.964709931,12,Akt_pS473-R-V,NormLog2,0.002737795,-0.062627469,0.047203476,-0.24368893
Akt_pT308,R,AKT1,V,GBL1102550,Akt_pT308-R-V,0.966705114,13,Akt_pT308-R-V,NormLog2,0.007695842,0.083392154,-0.047614419,0.144043768
AMPK-a2_pS345,R,PRKAA2,V,GBL1102585,AMPK-a2_pS345-R-V,0.93640554,14,AMPK-a2_pS345-R-V,NormLog2,-0.033301036,-0.049285464,0.030825661,0.435551003
AMPKa,R,PRKAA1,C,GBL1102751,AMPKa-R-C,0.949486983,15,AMPKa-R-C,NormLog2,-0.058683816,-0.099422328,0.09068079,-0.395771434
AMPKa_pT172,R,PRKAA1,C,GBL1102729,AMPKa_pT172-R-C,0.926789291,16,AMPKa_pT172-R-C,NormLog2,-0.207715365,0.009482768,0.202599619,-3.262958671
Annexin-VII,M,ANXA7,V,GBL1102679,Annexin-VII-M-V,0.912783951,17,Annexin-VII-M-V,NormLog2,0.016229765,0.046556325,-0.059348973,0.715902875
AR,R,AR,V,GBL1102491,AR-R-V,0.966358854,18,AR-R-V,NormLog2,0.012042255,0.036301798,-0.053570344,-0.019806174
ARID1A,R,ARID1A,C,GBL1102598,ARID1A-R-C,0.947515242,19,ARID1A-R-C,NormLog2,0.149989957,0.245591208,-0.267788539,-2.004009063
Atg3,R,ATG3,V,GBL1102606,Atg3-R-V,0.961039297,20,Atg3-R-V,NormLog2,-0.019267134,-0.082601967,0.071105392,-0.561223633
Atg7,R,ATG7,V,GBL1102607,Atg7-R-V,0.968826095,21,Atg7-R-V,NormLog2,0.032057614,-0.017358019,-0.009779847,-1.485175991
ATM,R,ATM,V,GBL1102587,ATM-R-V,0.954308544,22,ATM-R-V,NormLog2,-0.021986077,0.003073041,-0.008047626,-0.744057995
ATM_pS1981,R,ATM,V,GBL1102588,ATM_pS1981-R-V,0.95711835,23,ATM_pS1981-R-V,NormLog2,-0.004132415,-0.067295665,0.052854903,0.034575492
ATRX,R,ATRX,C,GBL1102603,ATRX-R-C,0.95647014,24,ATRX-R-C,NormLog2,0.057695124,0.173540158,-0.118809634,0.272770369
ATR_pS428,R,ATR,C,GBL1102630,ATR_pS428-R-C,0.973760449,25,ATR_pS428-R-C,NormLog2,-0.067793658,-0.16136531,0.158729144,-0.797613679
Aurora-B,R,AIM1,V,GBL1102595,Aurora-B-R-V,0.857902557,26,Aurora-B-R-V,NormLog2,0.236915707,0.100815754,-0.180054425,0.308630032
Axl,R,AXL,V,GBL1102575,Axl-R-V,0.955711039,27,Axl-R-V,NormLog2,0.14474941,0.366431516,-0.258634953,-0.155124546
b-Actin,R,ACTB,C,GBL1102556,b-Actin-R-C,0.950138023,28,b-Actin-R-C,NormLog2,-0.050335485,0.002676453,0.028032159,-0.206381428
b-Catenin,R,CTNNB1,V,GBL1102426,b-Catenin-R-V,0.869836877,29,b-Catenin-R-V,NormLog2,0.020023244,0.120249902,-0.064618492,-0.806969147
b-Catenin_pT41_S45,R,CTNNB1,V,GBL1102557,b-Catenin_pT41_S45-R-V,0.961996046,30,b-Catenin_pT41_S45-R-V,NormLog2,-0.039315521,-0.097983728,0.089025768,0.457781507
B-Raf,R,BRAF,C,GBL1102643,B-Raf-R-C,0.958408754,31,B-Raf-R-C,NormLog2,0.078193032,0.096825388,-0.149798475,-0.959778542
B-Raf_pS445,R,BRAF,V,GBL1102430,B-Raf_pS445-R-V,0.914871869,32,B-Raf_pS445-R-V,NormLog2,-0.060630811,0.07612989,0.040743854,-1.07919875
B7-H4,R,VTCN1,C,GBL1102625,B7-H4-R-C,0.936864441,33,B7-H4-R-C,NormLog2,0.036866008,-0.030224189,0.006829607,0.048928788
Bad_pS112,R,BAD,V,GBL1102423,Bad_pS112-R-V,0.959577749,34,Bad_pS112-R-V,NormLog2,0.078404617,0.205829768,-0.150124173,-0.933105569
Bak,R,BAK1,C,GBL1102424,Bak-R-C,0.948564389,35,Bak-R-C,NormLog2,-0.055060528,-0.072616319,0.059247213,0.275118993
BAP1,M,BAP1,V,GBL1102706,BAP1-M-V,0.936042971,36,BAP1-M-V,NormLog2,-0.026413812,-0.007490188,-0.002305502,-0.366627173
Bax,R,BAX,V,GBL1102425,Bax-R-V,0.93706383,37,Bax-R-V,NormLog2,-0.0926005,0.046024738,0.078962138,0.323472786
Bcl-xL,R,BCL2L1,V,GBL1102427,Bcl-xL-R-V,0.92166056,38,Bcl-xL-R-V,NormLog2,-0.113535119,0.075293189,0.103009399,0.439777562
Bcl2A1,R,BCL2A1,V,GBL1102577,Bcl2A1-R-V,0.969642335,39,Bcl2A1-R-V,NormLog2,-0.035711531,0.035481777,0.009621786,0.995961148
Beclin,G,BECN1,C,GBL1102718,Beclin-G-C,0.937617162,40,Beclin-G-C,NormLog2,-0.055055994,-0.073937935,0.060827,0.305133933
Bid,R,BID,C,GBL1102428,Bid-R-C,0.946756346,41,Bid-R-C,NormLog2,-0.044629473,0.040214768,0.020898839,-0.659157379
Bim,R,BCL2L11,V,GBL1102429,Bim-R-V,0.953628354,42,Bim-R-V,NormLog2,-0.00251212,0.102494309,-0.033791838,0.344244719
BiP-GRP78,M,HSPA5,C,GBL1102686,BiP-GRP78-M-C,0.912335555,43,BiP-GRP78-M-C,NormLog2,0.002951343,0.065627452,-0.041161256,0.566253415
BRD4,R,BRD4,V,GBL1102601,BRD4-R-V,0.9611395,44,BRD4-R-V,NormLog2,0.001314852,-0.012026824,-0.016762515,-0.371205813
c-Abl,R,ABL1,V,GBL1102600,c-Abl-R-V,0.954390243,45,c-Abl-R-V,NormLog2,-0.032274044,-0.062358181,0.046876234,0.49202064
c-IAP2,R,BIRC3,C,GBL1102608,c-IAP2-R-C,0.950823708,46,c-IAP2-R-C,NormLog2,0.125330838,-0.024662556,-0.000308518,-0.558764951
c-Jun_pS73,R,JUN,V,GBL1102435,c-Jun_pS73-R-V,0.967712016,47,c-Jun_pS73-R-V,NormLog2,0.011767536,-0.023894704,-0.001298976,-0.17486875
c-Kit,R,KIT,V,GBL1102721,c-Kit-R-V,0.945065516,48,c-Kit-R-V,NormLog2,-0.094785728,-0.101514459,0.09308134,0.386040464
c-Met,M,MET,Q,GBL1102671,c-Met-M-Q,0.928289298,49,c-Met-M-Q,NormLog2,-0.021746579,-0.009877426,-0.008359376,0.433541987
c-Met_pY1234_Y1235,R,MET,V,GBL1102487,c-Met_pY1234_Y1235-R-V,0.933063095,50,c-Met_pY1234_Y1235-R-V,NormLog2,0.001736306,-0.05177636,0.033909029,-0.043835637
c-Myc,R,MYC,C,GBL1102654,c-Myc-R-C,0.957086676,51,c-Myc-R-C,NormLog2,0.021049914,0.037040147,-0.066050345,0.397317742
C-Raf,R,RAF1,C,GBL1102561,C-Raf-R-C,0.952127146,52,C-Raf-R-C,NormLog2,0.034650501,-0.024855171,-6.0252E-05,-0.478187184
C-Raf_pS338,R,RAF1,V,GBL1102722,C-Raf_pS338-R-V,0.886832387,53,C-Raf_pS338-R-V,NormLog2,-0.057855812,-0.156759573,0.153876376,0.41719761
Caspase-3,R,CASP3,C,GBL1102431,Caspase-3-R-C,0.946313775,54,Caspase-3-R-C,NormLog2,-0.003811781,0.025423508,-0.032048402,-0.001148246
Caspase-7-cleaved,R,CASP7,C,GBL1102432,Caspase-7-cleaved-R-C,0.937767654,55,Caspase-7-cleaved-R-C,NormLog2,-0.035712185,-0.064601893,0.049598695,0.706498454
Caspase-8,M,CASP8,Q,GBL1102675,Caspase-8-M-Q,0.913163725,56,Caspase-8-M-Q,NormLog2,-0.052446057,-0.069318014,0.055290699,0.201377182
Caveolin-1,R,CAV1,V,GBL1102433,Caveolin-1-R-V,0.859682917,57,Caveolin-1-R-V,NormLog2,0.065393734,0.271553189,-0.130319062,0.650865784
CD171,M,L1CAM,V,GBL1102717,CD171-M-V,0.881776424,58,CD171-M-V,NormLog2,0.004349921,0.460889005,-0.04305831,1.032354676
CD26,R,DPP4,V,GBL1102578,CD26-R-V,0.957390669,59,CD26-R-V,NormLog2,0.127643448,0.049904678,-0.102497374,0.064719336
CD29,M,CD29,V,GBL1102682,CD29-M-V,0.857768472,60,CD29-M-V,NormLog2,-0.05100463,0.002945405,0.028864538,1.573229362
CD31,M,PECAM1,V,GBL1102694,CD31-M-V,0.853503803,61,CD31-M-V,NormLog2,-0.011859474,0.109664477,-0.021334077,0.848507523
CD44,M,CD44,C,GBL1102688,CD44-M-C,0.858959167,62,CD44-M-C,NormLog2,-0.006853455,0.056239988,-0.027982466,0.785359936
CD49b,M,ITGA2,V,GBL1102674,CD49b-M-V,0.92147362,63,CD49b-M-V,NormLog2,-0.030662516,0.02295596,0.003166594,0.643599042
cdc25C,R,CDC25C,V,GBL1102639,cdc25C-R-V,0.953148882,64,cdc25C-R-V,NormLog2,0.080734677,-0.03563039,0.013708418,-1.699029352
Cdc2_pY15,R,CDK1,C,GBL1102629,Cdc2_pY15-R-C,0.962044297,65,Cdc2_pY15-R-C,NormLog2,0.102749311,-0.094342425,0.084820758,-0.508103763
CDK1,R,CDK1,C,GBL1102618,CDK1-R-C,0.956918927,66,CDK1-R-C,NormLog2,-0.121171668,-0.108614726,0.111597287,-1.179365117
Chk1,M,CHEK1,C,GBL1102681,Chk1-M-C,0.929232375,67,Chk1-M-C,NormLog2,0.084921905,0.025606766,-0.067808704,-0.347630191
Chk1_pS296,R,CHEK1,V,GBL1102584,Chk1_pS296-R-V,0.960472893,68,Chk1_pS296-R-V,NormLog2,0.162023969,0.086634674,-0.15775004,-0.093215642
Chk2,M,CHEK2,V,GBL1102661,Chk2-M-V,0.899160928,69,Chk2-M-V,NormLog2,0.039485724,0.127542041,-0.092184302,-0.314874784
Chk2_pT68,R,CHEK2,C,GBL1102434,Chk2_pT68-R-C,0.952719565,70,Chk2_pT68-R-C,NormLog2,-0.050238323,-0.083538036,0.072207833,0.235344249
Claudin-7,R,CLDN7,V,GBL1102499,Claudin-7-R-V,0.914852919,71,Claudin-7-R-V,NormLog2,0.015051011,0.217652442,-0.05771829,1.257323994
COG3,R,COG3,V,GBL1102617,COG3-R-V,0.960909188,72,COG3-R-V,NormLog2,-0.041294048,-0.09922881,0.090458366,-0.71680978
Collagen-VI,R,COL6A1,V,GBL1102645,Collagen-VI-R-V,0.932507496,73,Collagen-VI-R-V,NormLog2,-0.065869254,-0.232311564,0.229661023,1.52556512
Connexin-43,R,GJA1,C,GBL1102602,Connexin-43-R-C,0.913478552,74,Connexin-43-R-C,NormLog2,0.154047926,0.18907864,-0.27493971,-1.711664833
Cox-IV,R,PTGS3,V,GBL1102736,Cox-IV-R-V,0.854819803,75,Cox-IV-R-V,NormLog2,-0.10723444,-0.070234189,0.095850529,0.349868775
Cox2,R,CMC2,C,GBL1102564,Cox2-R-C,0.957505427,76,Cox2-R-C,NormLog2,-0.003294089,0.40258855,-0.032742421,0.876882184
Creb,R,CREB1,C,GBL1102723,Creb-R-C,0.848506153,77,Creb-R-C,NormLog2,-0.069617048,-0.096930187,0.087811479,-0.378780537
Cyclin-B1,R,CCNB1,V,GBL1102417,Cyclin-B1-R-V,0.959635277,78,Cyclin-B1-R-V,NormLog2,-0.047355563,-0.084623575,0.073484362,-1.211508762
Cyclin-D1,R,CCND1,V,GBL1102646,Cyclin-D1-R-V,0.949979472,79,Cyclin-D1-R-V,NormLog2,-0.045407751,0.004215389,0.021875541,0.283178969
Cyclin-D3,M,CCND3,V,GBL1102662,Cyclin-D3-M-V,0.917795021,80,Cyclin-D3-M-V,NormLog2,0.037016543,-0.189152974,0.18734644,-0.038870971
Cyclin-E1,M,CCNE1,V,GBL1102695,Cyclin-E1-M-V,0.950891369,81,Cyclin-E1-M-V,NormLog2,-0.066015098,-0.063206102,0.047906181,0.465626464
Cyclophilin-F,M,PPIF,V,GBL1102707,Cyclophilin-F-M-V,0.86826485,82,Cyclophilin-F-M-V,NormLog2,-0.042471803,0.043098794,0.018184838,-0.862114274
D-a-Tubulin,R,TUBA1A,V,GBL1102591,D-a-Tubulin-R-V,0.948218984,83,D-a-Tubulin-R-V,NormLog2,-0.011204212,-0.052974062,0.035387378,0.582875471
DJ1,R,PARK7,V,GBL1102503,DJ1-R-V,0.962547054,84,DJ1-R-V,NormLog2,-0.063314672,-0.068609722,0.054438461,-1.729063324
DM-Histone-H3,R,HISTH3,V,GBL1102592,DM-Histone-H3-R-V,0.929011789,85,DM-Histone-H3-R-V,NormLog2,-0.159362888,-0.14190792,-0.030196878,1.84432312
DM-K9-Histone-H3,R,H3K9ME2,C,GBL1102594,DM-K9-Histone-H3-R-C,0.951830212,86,DM-K9-Histone-H3-R-C,NormLog2,-0.040054975,0.018253152,-0.02251338,1.706315886
DUSP4,R,DUSP4,V,GBL1102730,DUSP4-R-V,0.819343353,87,DUSP4-R-V,NormLog2,-0.026931256,0.254127143,-0.001637087,-0.299325433
E-Cadherin,R,CDH1,V,GBL1102532,E-Cadherin-R-V,0.947201403,88,E-Cadherin-R-V,NormLog2,0.017744282,0.625104033,-0.061448819,1.573554041
E2F1,M,E2F1,V,GBL1102748,E2F1-M-V,0.800477884,89,E2F1-M-V,NormLog2,-0.119548845,0.692752771,0.109780365,1.716061186
eEF2,R,EEF2,C,GBL1102521,eEF2-R-C,0.954977796,90,eEF2-R-C,NormLog2,-0.049663193,0.113940858,0.027194993,-1.513136973
eEF2K,R,EEF2K,V,GBL1102522,eEF2K-R-V,0.968731381,91,eEF2K-R-V,NormLog2,0.09766092,0.185828797,-0.180283229,-0.701207621
EGFR,R,EGFR,V,GBL1102536,EGFR-R-V,0.927455259,92,EGFR-R-V,NormLog2,0.101067735,0.052987689,-0.107001593,0.1491007
EGFR_pY1173,R,EGFR,V,GBL1102724,EGFR_pY1173-R-V,0.907359855,93,EGFR_pY1173-R-V,NormLog2,-0.000473134,0.00868536,-0.036534471,0.106333599
eIF4E,R,EIF4E,V,GBL1102486,eIF4E-R-V,0.945256219,94,eIF4E-R-V,NormLog2,0.000113266,0.006795914,-0.037324922,-1.260710778
eIF4E_pS209,R,EIF4E,V,GBL1102638,eIF4E_pS209-R-V,0.948095608,95,eIF4E_pS209-R-V,NormLog2,0.019584177,-0.024660965,-0.00031057,-0.712902292
eIF4G,R,EIF4G1,C,GBL1102539,eIF4G-R-C,0.956673057,96,eIF4G-R-C,NormLog2,0.202864846,0.304390502,-0.365568081,-1.885872312
Elk1_pS383,R,ELK1,C,GBL1102725,Elk1_pS383-R-C,0.92422347,97,Elk1_pS383-R-C,NormLog2,-0.083721422,-0.040573951,0.068533057,0.359271676
EMA,M,MUC1,C,GBL1102712,EMA-M-C,0.859819643,98,EMA-M-C,NormLog2,-0.506475869,0.396563386,-0.52672831,2.13860916
ENY2,M,ENY2,C,GBL1102684,ENY2-M-C,0.923115173,99,ENY2-M-C,NormLog2,-0.011260223,0.041283932,-0.022127104,0.182355949
ER,R,ESR1,V,GBL1102422,ER-R-V,0.968930001,100,ER-R-V,NormLog2,0.040907879,-0.047065247,0.028067283,0.434932743
ER-a_pS118,R,ESR1,V,GBL1102726,ER-a_pS118-R-V,0.931824132,101,ER-a_pS118-R-V,NormLog2,-0.101356788,-0.060277336,0.089111679,0.356515096
ERCC1,M,ERCC1,V,GBL1102714,ERCC1-M-V,0.942702783,102,ERCC1-M-V,NormLog2,-0.020981933,0.023555852,-0.0093555,-0.007406833
ERCC5,R,ERCC5,C,GBL1102586,ERCC5-R-C,0.965917909,103,ERCC5-R-C,NormLog2,0.082310727,0.044027794,-0.093976541,-0.315299613
Ets-1,R,ETS1,V,GBL1102656,Ets-1-R-V,0.935066457,104,Ets-1-R-V,NormLog2,-0.021466651,0.031443864,-0.008723904,0.079156875
FAK,R,PTK2,C,GBL1102727,FAK-R-C,0.926569966,105,FAK-R-C,NormLog2,0.06665025,0.279515708,-0.132212169,-0.618427468
FAK_pY397,R,PTK2,V,GBL1102568,FAK_pY397-R-V,0.968635192,106,FAK_pY397-R-V,NormLog2,0.036929653,0.004452513,-0.038729733,0.346650361
FASN,R,FASN,V,GBL1102551,FASN-R-V,0.95324506,107,FASN-R-V,NormLog2,0.012031251,0.23768402,-0.053555212,-0.332246019
Fibronectin,R,FN1,V,GBL1102446,Fibronectin-R-V,0.928484994,108,Fibronectin-R-V,NormLog2,-0.17140877,-0.224962258,-0.140535482,2.685655326
FoxM1,R,FOXM1,V,GBL1102538,FoxM1-R-V,0.964725866,109,FoxM1-R-V,NormLog2,0.187889268,-0.147132111,0.143628892,-0.059255706
FoxO3a,R,FOX3,C,GBL1102537,FoxO3a-R-C,0.945597998,110,FoxO3a-R-C,NormLog2,0.071148343,-0.01377298,-0.014468874,0.210377033
FoxO3a_pS318_S321,R,FOXO3,C,GBL1102447,FoxO3a_pS318_S321-R-C,0.946218798,111,FoxO3a_pS318_S321-R-C,NormLog2,-0.043175456,-0.038528955,0.019070927,-0.333284228
FRA-1,R,FOSL1,C,GBL1102655,FRA-1-R-C,0.955083109,112,FRA-1-R-C,NormLog2,0.149053927,-0.017529734,-0.009555928,-0.128819664
G6PD,R,G6PD,V,GBL1102628,G6PD-R-V,0.93962801,113,G6PD-R-V,NormLog2,0.081602639,0.080980962,-0.149013103,0.157187098
Gab2,R,GAB2,V,GBL1102508,Gab2-R-V,0.973758422,114,Gab2-R-V,NormLog2,0.208621095,0.380391084,-0.376851393,-0.059343891
GAPDH,M,GAPDH,C,GBL1102738,GAPDH-M-C,0.828881661,115,GAPDH-M-C,NormLog2,0.102514699,-0.016163762,-0.011338881,-2.607404006
GATA3,M,GATA3,V,GBL1102698,GATA3-M-V,0.935655056,116,GATA3-M-V,NormLog2,-0.001090413,0.254671803,-0.035703212,1.14156465
GCLM,R,GCLM,C,GBL1102626,GCLM-R-C,0.946066217,117,GCLM-R-C,NormLog2,0.00346101,-0.032188276,0.009335476,0.120800525
GCN5L2,R,KAT2A,V,GBL1102573,GCN5L2-R-V,0.978168483,118,GCN5L2-R-V,NormLog2,0.144118799,-0.027024824,0.002731034,-0.23693796
Glutamate-D1-2,R,GLUD1,C,GBL1102609,Glutamate-D1-2-R-C,0.911312277,119,Glutamate-D1-2-R-C,NormLog2,0.03349871,-0.019184833,-0.00740079,-0.796627511
Glutaminase,R,GLS,C,GBL1102599,Glutaminase-R-C,0.963168863,120,Glutaminase-R-C,NormLog2,-0.023453759,-0.101670561,0.093260155,-0.502446561
Granzyme-B,R,GZMB,V,GBL1102633,Granzyme-B-R-V,0.950057936,121,Granzyme-B-R-V,NormLog2,0.063632793,0.055844692,-0.111196848,-1.115902263
GSK-3a-b,M,GSK3A/GSK3B,V,GBL1102696,GSK-3a-b-M-V,0.950070496,122,GSK-3a-b-M-V,NormLog2,-0.095726576,-0.090955185,0.082600898,-0.456701386
GSK-3a-b_pS21_S9,R,GSK3A GSK3B,V,GBL1102448,GSK-3a-b_pS21_S9-R-V,0.909682118,123,GSK-3a-b_pS21_S9-R-V,NormLog2,-0.080171867,-0.086804937,0.076043205,-1.542154766
Gys,R,GYS1,V,GBL1102518,Gys-R-V,0.88020156,124,Gys-R-V,NormLog2,-0.063463409,0.124167125,0.044205944,-1.989877151
Gys_pS641,R,GYS1,V,GBL1102519,Gys_pS641-R-V,0.913043854,125,Gys_pS641-R-V,NormLog2,0.083892261,0.065024633,-0.124816941,-1.992615864
H2AX_pS140,M,H2AFX,C,GBL1102690,H2AX_pS140-M-C,0.934290635,126,H2AX_pS140-M-C,NormLog2,0.025246197,0.21629312,-0.071928193,0.608361918
HER2,M,ERBB2,V,GBL1102703,HER2-M-V,0.931512944,127,HER2-M-V,NormLog2,0.079152812,0.299641566,-0.151276864,0.734026708
HER2_pY1248,R,ERBB2,C,GBL1102526,HER2_pY1248-R-C,0.948376782,128,HER2_pY1248-R-C,NormLog2,0.094657124,-0.010673202,-0.018544975,0.578357037
HER3,R,ERBB3,V,GBL1102653,HER3-R-V,0.956323037,129,HER3-R-V,NormLog2,0.067256458,0.037168793,-0.084138343,0.37470893
HER3_pY1289,R,ERBB3,C,GBL1102488,HER3_pY1289-R-C,0.905197385,130,HER3_pY1289-R-C,NormLog2,-0.092889484,0.004519041,0.079299232,-0.130518686
Heregulin,R,NRG1,V,GBL1102502,Heregulin-R-V,0.971705276,131,Heregulin-R-V,NormLog2,-0.025529246,-0.042264932,0.022070719,0.462306075
HES1,R,HES1,V,GBL1102604,HES1-R-V,0.96590541,132,HES1-R-V,NormLog2,-0.111649521,0.160063959,0.100873967,-0.132520819
Hexokinase-II,R,HK2,V,GBL1102514,Hexokinase-II-R-V,0.96579341,133,Hexokinase-II-R-V,NormLog2,0.009053709,-0.066036132,0.051334062,0.017242797
Hif-1-alpha,M,HIF1A,C,GBL1102689,Hif-1-alpha-M-C,0.843187985,134,Hif-1-alpha-M-C,NormLog2,0.074769503,0.318214027,-0.144545348,-0.44963444
Histone-H3,R,HIST3H3,V,GBL1102571,Histone-H3-R-V,0.947459442,135,Histone-H3-R-V,NormLog2,-0.325297805,-0.080599508,-0.3689119,3.825867958
HSP27,M,HSBP1,C,GBL1102664,HSP27-M-C,0.919512296,136,HSP27-M-C,NormLog2,0.002888054,0.067568832,-0.041075512,0.52028128
HSP70,R,HSPA1A,C,GBL1102450,HSP70-R-C,0.960781464,137,HSP70-R-C,NormLog2,-0.080381199,-0.045390263,0.06457339,-0.157307799
IGF1R_pY1135_Y1136,R,IGF1R,V,GBL1102565,IGF1R_pY1135_Y1136-R-V,0.967416065,138,IGF1R_pY1135_Y1136-R-V,NormLog2,-0.032303616,-0.09359252,0.083951914,0.469970898
IGFBP2,R,IGFBP2,V,GBL1102451,IGFBP2-R-V,0.911041662,139,IGFBP2-R-V,NormLog2,-0.185171865,-0.210783946,-0.254856096,3.054137853
IGFRb,R,IGF1R,C,GBL1102452,IGFRb-R-C,0.875844534,140,IGFRb-R-C,NormLog2,0.023875008,0.275429485,-0.070003014,-0.39065529
INPP4b,R,INPP4B,V,GBL1102525,INPP4b-R-V,0.961611945,141,INPP4b-R-V,NormLog2,-0.051059725,-0.070878654,0.057165261,0.464267955
IR-b,R,INSRB,C,GBL1102605,IR-b-R-C,0.963705095,142,IR-b-R-C,NormLog2,0.000550179,0.168736493,-0.037914358,0.645952517
IRF-1,R,IRF1,C,GBL1102657,IRF-1-R-C,0.956759674,143,IRF-1-R-C,NormLog2,0.008101403,-0.080714859,0.068878135,0.377065238
IRS1,R,IRS1,V,GBL1102495,IRS1-R-V,0.940109138,144,IRS1-R-V,NormLog2,0.16226557,0.033349512,-0.078709199,-0.163462437
Jagged1,R,JAG1,V,GBL1102597,Jagged1-R-V,0.955302693,145,Jagged1-R-V,NormLog2,0.033678211,-0.054634061,0.037431824,0.092275118
Jak2,R,JAK2,V,GBL1102555,Jak2-R-V,0.9632276,146,Jak2-R-V,NormLog2,0.039366693,0.141895451,-0.092012957,-0.973998307
JNK2,R,MAPK9,C,GBL1102453,JNK2-R-C,0.969219784,147,JNK2-R-C,NormLog2,0.019485091,-0.018378005,-0.008450665,-0.901804695
JNK_pT183_Y185,R,MAPK8,V,GBL1102501,JNK_pT183_Y185-R-V,0.965918296,148,JNK_pT183_Y185-R-V,NormLog2,0.002964572,-0.044435821,0.024788158,0.417588033
LC3A-B,R,LC3AB,C,GBL1102610,LC3A-B-R-C,0.948661547,149,LC3A-B-R-C,NormLog2,-0.12485639,-0.108973407,0.115706691,0.861713738
Lck,R,LCK,V,GBL1102454,Lck-R-V,0.956378854,150,Lck-R-V,NormLog2,0.02831523,0.027483592,-0.070438051,-0.021823836
LDHA,R,LDHA,C,GBL1102509,LDHA-R-C,0.942391991,151,LDHA-R-C,NormLog2,0.019882188,0.465231039,-0.064421958,-2.583139393
LRP6_pS1490,R,LRP6,V,GBL1102589,LRP6_pS1490-R-V,0.96246722,152,LRP6_pS1490-R-V,NormLog2,0.053350919,0.005381997,-0.039986327,0.578542275
MAPK_pT202_Y204,R,MAPK3,V,GBL1102455,MAPK_pT202_Y204-R-V,0.962702367,153,MAPK_pT202_Y204-R-V,NormLog2,-0.024604039,-0.020761529,-0.004647622,0.311099546
Mcl-1,R,MCL1,V,GBL1102566,Mcl-1-R-V,0.968849493,154,Mcl-1-R-V,NormLog2,0.016564315,-0.007490561,-0.022751216,0.849000127
MCT4,R,SLC16A4,V,GBL1102616,MCT4-R-V,0.923983701,155,MCT4-R-V,NormLog2,-0.076009089,0.211934637,0.059360052,0.158085542
MDM2_pS166,R,MDM2,V,GBL1102554,MDM2_pS166-R-V,0.972542715,156,MDM2_pS166-R-V,NormLog2,0.051824486,0.080401626,-0.110135089,-0.342515814
MEK1,R,MAP2K1,V,GBL1102456,MEK1-R-V,0.965082963,157,MEK1-R-V,NormLog2,-0.007741481,-0.017899256,-0.009074272,-1.441839146
MEK1_pS217_S221,R,MAP2K1,V,GBL1102527,MEK1_pS217_S221-R-V,0.961226396,158,MEK1_pS217_S221-R-V,NormLog2,-0.066668469,-0.108170353,0.100669003,-0.421400864
MERIT40_pS29,R,BABAM1,V,GBL1102640,MERIT40_pS29-R-V,0.944945325,159,MERIT40_pS29-R-V,NormLog2,0.070271295,-0.024948683,6.02495E-05,-0.621099811
Merlin,R,NF2,C,GBL1102520,Merlin-R-C,0.961272306,160,Merlin-R-C,NormLog2,0.00665075,0.330218617,-0.046188645,0.588390672
MIF,R,MIF,C,GBL1102658,MIF-R-C,0.919516382,161,MIF-R-C,NormLog2,0.026603881,0.034204327,-0.073838754,0.071754398
