Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,control,drug-10min,drug-30min,drug-60min
Atg3,R,ATG3,V,GBL1103562,Atg3-R-V,0.913380826,21,Atg3-R-V,Median-Centered,0.160224033,0.168743732,-0.160224033,-0.493784615
Atg7,R,ATG7,V,GBL1103563,Atg7-R-V,0.974982713,22,Atg7-R-V,Median-Centered,0.497105297,0.385927217,-0.385927217,-1.081358506
ATM,R,ATM,V,GBL1103543,ATM-R-V,0.957239327,23,ATM-R-V,Median-Centered,0.074829731,-0.050020103,0.050020103,-0.159877584
ATM_pS1981,R,ATM,V,GBL1103699,ATM_pS1981-R-V,0.910665163,24,ATM_pS1981-R-V,Median-Centered,-0.343462507,-0.147140906,0.147140906,0.229582512
ATRX,R,ATRX,C,GBL1103559,ATRX-R-C,0.958240941,25,ATRX-R-C,Median-Centered,0.866929627,-0.09916646,0.09916646,-0.139010936
ATR_pS428,R,ATR,C,GBL1103586,ATR_pS428-R-C,0.969557143,26,ATR_pS428-R-C,Median-Centered,0.289172164,0.113939406,-0.113939406,-0.334296984
Aurora-B,R,AIM1,V,GBL1103551,Aurora-B-R-V,0.965365856,27,Aurora-B-R-V,Median-Centered,-0.332202591,-0.18982412,0.18982412,0.234596298
Axl,R,AXL,V,GBL1103531,Axl-R-V,0.954252593,28,Axl-R-V,Median-Centered,-0.804376975,-0.412562904,0.50506854,0.412562904
b-Actin,R,ACTB,C,GBL1103512,b-Actin-R-C,0.935390751,29,b-Actin-R-C,Median-Centered,-0.040499757,0.270997155,0.040499757,-0.534908917
b-Catenin,R,CTNNB1,V,GBL1103387,b-Catenin-R-V,0.939748397,30,b-Catenin-R-V,Median-Centered,0.561316803,0.545324957,-0.545324957,-0.631924457
b-Catenin_pT41_S45,R,CTNNB1,V,GBL1103513,b-Catenin_pT41_S45-R-V,0.958739975,31,b-Catenin_pT41_S45-R-V,Median-Centered,-0.096275319,-0.065128116,0.065128116,0.193220951
B-Raf,R,BRAF,C,GBL1103599,B-Raf-R-C,0.962847609,32,B-Raf-R-C,Median-Centered,0.320507769,0.43873101,-0.320507769,-0.582385519
B-Raf_pS445,R,BRAF,V,GBL1103391,B-Raf_pS445-R-V,0.974517509,33,B-Raf_pS445-R-V,Median-Centered,0.37742808,0.390566559,-0.37742808,-0.707483843
B7-H4,R,VTCN1,C,GBL1103581,B7-H4-R-C,0.916966525,34,B7-H4-R-C,Median-Centered,-0.082813377,-0.02626817,0.02626817,0.035079512
Bad_pS112,R,BAD,V,GBL1103384,Bad_pS112-R-V,0.967764085,35,Bad_pS112-R-V,Median-Centered,0.05763193,0.177646831,-0.05763193,-0.182979348
Bak,R,BAK1,C,GBL1103385,Bak-R-C,0.964836434,36,Bak-R-C,Median-Centered,-0.088472128,-0.008295225,0.0538186,0.008295225
BAP1,M,BAP1,V,GBL1103694,BAP1-M-V,0.925076944,37,BAP1-M-V,Median-Centered,0.007576044,-0.007576044,-0.03129909,0.030070982
Bax,R,BAX,V,GBL1103386,Bax-R-V,0.959410761,38,Bax-R-V,Median-Centered,-0.100501747,0.06204966,-0.06204966,0.149579231
Bcl-xL,R,BCL2L1,V,GBL1103388,Bcl-xL-R-V,0.968489034,39,Bcl-xL-R-V,Median-Centered,-0.107272957,-0.076860604,0.076860604,0.178647145
Bcl2A1,R,BCL2A1,V,GBL1103533,Bcl2A1-R-V,0.953955198,40,Bcl2A1-R-V,Median-Centered,-0.150264457,0.070954668,-0.070954668,0.849657572
Beclin,G,BECN1,C,GBL1103702,Beclin-G-C,0.896430978,41,Beclin-G-C,Median-Centered,-0.094298584,-0.017981555,0.017981555,0.12327441
Bid,R,BID,C,GBL1103389,Bid-R-C,0.955581887,42,Bid-R-C,Median-Centered,0.142307131,0.119494787,-0.119494787,-0.305678925
Bim,R,BCL2L11,V,GBL1103390,Bim-R-V,0.953741683,43,Bim-R-V,Median-Centered,-0.142966719,-0.194666005,0.142966719,0.185702395
BiP-GRP78,M,HSPA5,C,GBL1103641,BiP-GRP78-M-C,0.870202994,44,BiP-GRP78-M-C,Median-Centered,-0.351322387,-0.053700862,0.053700862,0.244480727
BRD4,R,BRD4,V,GBL1103557,BRD4-R-V,0.964358851,45,BRD4-R-V,Median-Centered,0.892276156,-0.020142595,-0.070050882,0.020142595
c-Abl,R,ABL1,V,GBL1103556,c-Abl-R-V,0.96669711,46,c-Abl-R-V,Median-Centered,0.031101855,-0.049162585,0.008592083,-0.008592083
c-IAP2,R,BIRC3,C,GBL1103564,c-IAP2-R-C,0.944168629,47,c-IAP2-R-C,Median-Centered,0.004722497,0.01552765,-0.004722497,-0.117360449
c-Jun_pS73,R,JUN,V,GBL1103396,c-Jun_pS73-R-V,0.96036637,48,c-Jun_pS73-R-V,Median-Centered,-0.745051855,-0.222306994,0.222306994,0.744681761
c-Kit,R,KIT,V,GBL1103397,c-Kit-R-V,0.971056152,49,c-Kit-R-V,Median-Centered,0.09017218,-0.09017218,0.093154323,-0.091287713
c-Met,M,MET,Q,GBL1103626,c-Met-M-Q,0.933464251,50,c-Met-M-Q,Median-Centered,-0.066328688,-0.006446379,0.006446379,0.053407658
c-Met_pY1234_Y1235,R,MET,V,GBL1103444,c-Met_pY1234_Y1235-R-V,0.932085008,51,c-Met_pY1234_Y1235-R-V,Median-Centered,-0.063861259,-0.154367943,0.063861259,0.07464159
c-Myc,R,MYC,C,GBL1103609,c-Myc-R-C,0.923092682,52,c-Myc-R-C,Median-Centered,-0.540424793,-0.1783163,0.1783163,0.41839412
C-Raf,R,RAF1,C,GBL1103517,C-Raf-R-C,0.975415495,53,C-Raf-R-C,Median-Centered,-0.108564191,-0.064132934,0.226021183,0.064132934
C-Raf_pS338,R,RAF1,V,GBL1103398,C-Raf_pS338-R-V,0.963170182,54,C-Raf_pS338-R-V,Median-Centered,0.196254995,-0.221026508,-0.10703771,0.10703771
Caspase-3,R,CASP3,C,GBL1103392,Caspase-3-R-C,0.950988428,55,Caspase-3-R-C,Median-Centered,-0.183747683,-0.16048052,0.16048052,0.205383874
Caspase-7-cleaved,R,CASP7,C,GBL1103393,Caspase-7-cleaved-R-C,0.956991219,56,Caspase-7-cleaved-R-C,Median-Centered,-0.365932017,0.052597772,-0.052597772,0.29838367
Caspase-8,M,CASP8,Q,GBL1103630,Caspase-8-M-Q,0.891236403,57,Caspase-8-M-Q,Median-Centered,0.027229196,-0.045600798,-0.017222916,0.017222916
Caveolin-1,R,CAV1,V,GBL1103394,Caveolin-1-R-V,0.938693159,58,Caveolin-1-R-V,Median-Centered,-0.565408591,-0.187191194,0.243863061,0.187191194
CD171,M,L1CAM,V,GBL1103672,CD171-M-V,0.90212613,59,CD171-M-V,Median-Centered,-0.797598475,-0.266061242,0.266061242,0.648526826
CD26,R,DPP4,V,GBL1103534,CD26-R-V,0.961702478,60,CD26-R-V,Median-Centered,0.029380308,-0.010115185,0.010115185,-0.031306489
CD29,M,CD29,V,GBL1103637,CD29-M-V,0.886622135,61,CD29-M-V,Median-Centered,-0.177710147,-0.160985739,0.160985739,0.299734323
CD31,M,PECAM1,V,GBL1103717,CD31-M-V,0.890474201,62,CD31-M-V,Median-Centered,-0.428069602,-0.196606158,0.196606158,0.329777546
CD44,M,CD44,C,GBL1103643,CD44-M-C,0.870122455,63,CD44-M-C,Median-Centered,-0.186302678,0.010092356,0.010268123,-0.010092356
CD49b,M,ITGA2,V,GBL1103629,CD49b-M-V,0.923955662,64,CD49b-M-V,Median-Centered,-0.004722156,-0.057662662,0.004722156,0.028319434
cdc25C,R,CDC25C,V,GBL1103595,cdc25C-R-V,0.965646629,65,cdc25C-R-V,Median-Centered,0.776698366,0.637153229,-0.637153229,-1.152146201
Cdc2_pY15,R,CDK1,C,GBL1103585,Cdc2_pY15-R-C,0.950071535,66,Cdc2_pY15-R-C,Median-Centered,-0.021489439,0.021489439,0.090345759,-0.038589231
CDK1,R,CDK1,C,GBL1103574,CDK1-R-C,0.960969379,67,CDK1-R-C,Median-Centered,0.529569917,0.206021215,-0.477340647,-0.206021215
Chk1,M,CHEK1,C,GBL1103636,Chk1-M-C,0.812529805,68,Chk1-M-C,Median-Centered,0.246357438,0.168854853,-0.168854853,-0.338607491
Chk1_pS296,R,CHEK1,V,GBL1103697,Chk1_pS296-R-V,0.936526135,69,Chk1_pS296-R-V,Median-Centered,0.036131802,-0.306568874,-0.036131802,0.334147619
Chk2,M,CHEK2,V,GBL1103616,Chk2-M-V,0.853784544,70,Chk2-M-V,Median-Centered,0.150204107,0.124643597,-0.124643597,-0.575832684
Chk2_pT68,R,CHEK2,C,GBL1103395,Chk2_pT68-R-C,0.94566346,71,Chk2_pT68-R-C,Median-Centered,-0.152608127,-0.154792001,0.152608127,0.203431882
Claudin-7,R,CLDN7,V,GBL1103456,Claudin-7-R-V,0.950340783,72,Claudin-7-R-V,Median-Centered,-0.138392126,-0.506088799,0.138392126,0.293332453
COG3,R,COG3,V,GBL1103573,COG3-R-V,0.973917487,73,COG3-R-V,Median-Centered,0.155906337,0.256654628,-0.186895618,-0.155906337
Collagen-VI,R,COL6A1,V,GBL1103601,Collagen-VI-R-V,0.939183223,74,Collagen-VI-R-V,Median-Centered,-0.628642334,-0.26572232,0.319226468,0.26572232
Connexin-43,R,GJA1,C,GBL1103558,Connexin-43-R-C,0.945326085,75,Connexin-43-R-C,Median-Centered,0.058773696,-0.058773696,0.243168301,-0.227165507
Cox-IV,R,PTGS3,V,GBL1103490,Cox-IV-R-V,0.962427793,76,Cox-IV-R-V,Median-Centered,-0.222121341,-0.093066193,0.093066193,0.213848842
Cox2,R,CMC2,C,GBL1103520,Cox2-R-C,0.936694503,77,Cox2-R-C,Median-Centered,-0.392756046,-0.225821138,0.225821138,0.240543095
Creb,R,CREB1,C,GBL1103399,Creb-R-C,0.923870465,78,Creb-R-C,Median-Centered,-0.037807945,0.138356393,0.037807945,-0.039489333
Cyclin-B1,R,CCNB1,V,GBL1103371,Cyclin-B1-R-V,0.954359351,79,Cyclin-B1-R-V,Median-Centered,0.698006671,0.083970052,-0.083970052,-0.192755422
Cyclin-D1,R,CCND1,V,GBL1103602,Cyclin-D1-R-V,0.969094217,80,Cyclin-D1-R-V,Median-Centered,-0.129245537,-0.084531625,0.084531625,0.133815794
Cyclin-D3,M,CCND3,V,GBL1103617,Cyclin-D3-M-V,0.941003827,81,Cyclin-D3-M-V,Median-Centered,0.286970218,0.180517658,-0.180517658,-0.314523673
Cyclin-E1,M,CCNE1,V,GBL1103713,Cyclin-E1-M-V,0.933893875,82,Cyclin-E1-M-V,Median-Centered,-0.059858088,-0.005916299,0.005916299,0.112017033
Cyclophilin-F,M,PPIF,V,GBL1103662,Cyclophilin-F-M-V,0.935838536,83,Cyclophilin-F-M-V,Median-Centered,0.13862951,0.357155475,-0.13862951,-0.955854335
D-a-Tubulin,R,TUBA1A,V,GBL1103547,D-a-Tubulin-R-V,0.950353188,84,D-a-Tubulin-R-V,Median-Centered,-0.185366563,-0.072274835,0.077639212,0.072274835
DJ1,R,PARK7,V,GBL1103460,DJ1-R-V,0.970060925,85,DJ1-R-V,Median-Centered,0.330520082,0.510019826,-0.330520082,-1.584209796
DM-Histone-H3,R,HISTH3,V,GBL1103548,DM-Histone-H3-R-V,0.91291371,86,DM-Histone-H3-R-V,Median-Centered,-1.131441053,-1.03218115,1.135247188,1.03218115
DM-K9-Histone-H3,R,H3K9ME2,C,GBL1103550,DM-K9-Histone-H3-R-C,0.957904282,87,DM-K9-Histone-H3-R-C,Median-Centered,-1.031179918,-1.064526588,1.078224743,1.031179918
DUSP4,R,DUSP4,V,GBL1103552,DUSP4-R-V,0.959669577,88,DUSP4-R-V,Median-Centered,0.292778628,0.003996425,-0.003996425,-0.117869765
E-Cadherin,R,CDH1,V,GBL1103488,E-Cadherin-R-V,0.963418312,89,E-Cadherin-R-V,Median-Centered,0.063096917,-0.177214609,-0.003499001,0.003499001
E2F1,M,E2F1,V,GBL1103712,E2F1-M-V,0.838473253,90,E2F1-M-V,Median-Centered,-0.249847553,-0.200105564,0.200105564,0.293966776
eEF2,R,EEF2,C,GBL1103478,eEF2-R-C,0.952269025,91,eEF2-R-C,Median-Centered,0.687385665,0.619001553,-0.619001553,-1.592625869
eEF2K,R,EEF2K,V,GBL1103479,eEF2K-R-V,0.967465521,92,eEF2K-R-V,Median-Centered,0.511623483,0.36951864,-0.36951864,-1.032232763
EGFR,R,EGFR,V,GBL1103492,EGFR-R-V,0.944009113,93,EGFR-R-V,Median-Centered,0.088555728,-0.008647485,0.008647485,-0.014106803
EGFR_pY1173,R,EGFR,V,GBL1103400,EGFR_pY1173-R-V,0.966026241,94,EGFR_pY1173-R-V,Median-Centered,-0.040447834,-0.096887883,0.072621367,0.040447834
eIF4E,R,EIF4E,V,GBL1103443,eIF4E-R-V,0.962616379,95,eIF4E-R-V,Median-Centered,0.126627246,0.228304612,-0.126627246,-1.276420138
eIF4E_pS209,R,EIF4E,V,GBL1103594,eIF4E_pS209-R-V,0.959154242,96,eIF4E_pS209-R-V,Median-Centered,0.108345997,0.147219587,-0.108345997,-0.37519119
eIF4G,R,EIF4G1,C,GBL1103495,eIF4G-R-C,0.974627007,97,eIF4G-R-C,Median-Centered,0.562409116,0.287214868,-0.287214868,-0.405492252
Elk1_pS383,R,ELK1,C,GBL1103401,Elk1_pS383-R-C,0.956911365,98,Elk1_pS383-R-C,Median-Centered,-0.087567584,-0.094683092,0.087567584,0.094783431
EMA,M,MUC1,C,GBL1103667,EMA-M-C,0.899771926,99,EMA-M-C,Median-Centered,-0.027301996,-0.129139379,0.027301996,0.046612062
ENY2,M,ENY2,C,GBL1103639,ENY2-M-C,0.915261002,100,ENY2-M-C,Median-Centered,-0.02292467,0.02292467,0.168937933,-0.111792545
ER,R,ESR1,V,GBL1103376,ER-R-V,0.964645043,101,ER-R-V,Median-Centered,-0.011702973,-0.122931161,0.011702973,0.055254407
ER-a_pS118,R,ESR1,V,GBL1103402,ER-a_pS118-R-V,0.96575645,102,ER-a_pS118-R-V,Median-Centered,0.074206549,-0.074206549,-0.086565301,0.1501009
ERCC1,M,ERCC1,V,GBL1103669,ERCC1-M-V,0.936542007,103,ERCC1-M-V,Median-Centered,0.007155006,0.153414753,-0.037495723,-0.007155006
ERCC5,R,ERCC5,C,GBL1103542,ERCC5-R-C,0.970520094,104,ERCC5-R-C,Median-Centered,0.384165044,0.129841305,-0.129841305,-0.236282743
Ets-1,R,ETS1,V,GBL1103611,Ets-1-R-V,0.929143544,105,Ets-1-R-V,Median-Centered,0.09101094,0.079967954,-0.104848108,-0.079967954
FAK,R,PTK2,C,GBL1103403,FAK-R-C,0.964936365,106,FAK-R-C,Median-Centered,0.418372226,0.098696359,-0.098696359,-0.357658045
FAK_pY397,R,PTK2,V,GBL1103524,FAK_pY397-R-V,0.964564059,107,FAK_pY397-R-V,Median-Centered,-0.340674809,-0.209884374,0.299117776,0.209884374
FASN,R,FASN,V,GBL1103507,FASN-R-V,0.92937921,108,FASN-R-V,Median-Centered,0.467285873,0.434535504,-0.434535504,-1.514641604
Fibronectin,R,FN1,V,GBL1103404,Fibronectin-R-V,0.929732247,109,Fibronectin-R-V,Median-Centered,-1.824730387,-1.604581723,1.822990045,1.604581723
FoxM1,R,FOXM1,V,GBL1103494,FoxM1-R-V,0.967139841,110,FoxM1-R-V,Median-Centered,0.23321246,-0.061674013,-0.074760553,0.061674013
FoxO3a,R,FOX3,C,GBL1103377,FoxO3a-R-C,0.834037945,111,FoxO3a-R-C,Median-Centered,-0.056303426,-0.041311468,0.047194582,0.041311468
FoxO3a_pS318_S321,R,FOXO3,C,GBL1103405,FoxO3a_pS318_S321-R-C,0.967522771,112,FoxO3a_pS318_S321-R-C,Median-Centered,-0.046599755,0.094023142,-0.020873307,0.020873307
FRA-1,R,FOSL1,C,GBL1103610,FRA-1-R-C,0.956319399,113,FRA-1-R-C,Median-Centered,-0.017009262,-0.082761638,0.017009262,0.0532568
G6PD,R,G6PD,V,GBL1103584,G6PD-R-V,0.899176524,114,G6PD-R-V,Median-Centered,0.061196602,0.131757335,-0.061196602,-0.332352978
Gab2,R,GAB2,V,GBL1103465,Gab2-R-V,0.97318718,115,Gab2-R-V,Median-Centered,0.692973344,0.003283867,-0.098985462,-0.003283867
GAPDH,M,GAPDH,C,GBL1103618,GAPDH-M-C,0.855284525,116,GAPDH-M-C,Median-Centered,1.893145601,1.660975788,-1.660975788,-2.463951328
GATA3,M,GATA3,V,GBL1103653,GATA3-M-V,0.869372244,117,GATA3-M-V,Median-Centered,0.318132952,-0.082592384,-0.040430941,0.040430941
GCLM,R,GCLM,C,GBL1103582,GCLM-R-C,0.925386878,118,GCLM-R-C,Median-Centered,0.000517008,-0.169999378,-0.000517008,0.040213938
GCN5L2,R,KAT2A,V,GBL1103529,GCN5L2-R-V,0.975669993,119,GCN5L2-R-V,Median-Centered,-0.033419751,0.033419751,-0.045946642,0.034254331
Glutamate-D1-2,R,GLUD1,C,GBL1103565,Glutamate-D1-2-R-C,0.843419137,120,Glutamate-D1-2-R-C,Median-Centered,0.135077328,0.233129861,-0.135077328,-0.504552434
Glutaminase,R,GLS,C,GBL1103555,Glutaminase-R-C,0.961258713,121,Glutaminase-R-C,Median-Centered,0.191746513,0.237466492,-0.191746513,-0.320066626
Granzyme-B,R,GZMB,V,GBL1103589,Granzyme-B-R-V,0.85766479,122,Granzyme-B-R-V,Median-Centered,0.49801873,0.356040296,-0.356040296,-0.710284014
GSK-3a-b,M,GSK3A/GSK3B,V,GBL1103714,GSK-3a-b-M-V,0.930990804,123,GSK-3a-b-M-V,Median-Centered,-0.106958616,0.289719475,0.106958616,-0.519721195
GSK-3a-b_pS21_S9,R,GSK3A GSK3B,V,GBL1103406,GSK-3a-b_pS21_S9-R-V,0.974187826,124,GSK-3a-b_pS21_S9-R-V,Median-Centered,0.763269784,0.289589873,-0.289589873,-0.44042434
Gys,R,GYS1,V,GBL1103475,Gys-R-V,0.954458733,125,Gys-R-V,Median-Centered,0.45513169,0.479682624,-0.45513169,-1.187494085
Gys_pS641,R,GYS1,V,GBL1103476,Gys_pS641-R-V,0.957996503,126,Gys_pS641-R-V,Median-Centered,0.66217912,0.297165332,-0.297165332,-0.674386146
H2AX_pS140,M,H2AFX,C,GBL1103645,H2AX_pS140-M-C,0.945164216,127,H2AX_pS140-M-C,Median-Centered,0.234415779,-0.038870536,0.016299268,-0.016299268
HER2,M,ERBB2,V,GBL1103706,HER2-M-V,0.83424925,128,HER2-M-V,Median-Centered,0.162970706,0.039659405,-0.039659405,-0.079844327
HER2_pY1248,R,ERBB2,C,GBL1103483,HER2_pY1248-R-C,0.951328671,129,HER2_pY1248-R-C,Median-Centered,-0.584147161,-0.484965866,0.484965866,0.548083909
HER3,R,ERBB3,V,GBL1103608,HER3-R-V,0.958082229,130,HER3-R-V,Median-Centered,0.034334067,-0.021503906,-0.038907667,0.021503906
HER3_pY1289,R,ERBB3,C,GBL1103445,HER3_pY1289-R-C,0.950370705,131,HER3_pY1289-R-C,Median-Centered,0.078855888,0.028117939,-0.028117939,-0.05558882
Heregulin,R,NRG1,V,GBL1103459,Heregulin-R-V,0.97253876,132,Heregulin-R-V,Median-Centered,-0.093865749,-0.155892119,0.093865749,0.124125222
HES1,R,HES1,V,GBL1103560,HES1-R-V,0.973827823,133,HES1-R-V,Median-Centered,-0.230497335,-0.176876939,0.176876939,0.555233637
Hexokinase-II,R,HK2,V,GBL1103370,Hexokinase-II-R-V,0.94935918,134,Hexokinase-II-R-V,Median-Centered,0.092853991,0.157209074,-0.092853991,-0.10739072
Hif-1-alpha,M,HIF1A,C,GBL1103696,Hif-1-alpha-M-C,0.919381154,135,Hif-1-alpha-M-C,Median-Centered,-0.091710244,-0.146306079,0.091710244,0.177347266
Histone-H3,R,HIST3H3,V,GBL1103527,Histone-H3-R-V,0.931053308,136,Histone-H3-R-V,Median-Centered,-2.257217062,-1.579554035,1.579554035,2.596977084
HSP27,M,HSBP1,C,GBL1103619,HSP27-M-C,0.878781128,137,HSP27-M-C,Median-Centered,-0.041415113,0.041415113,-0.255110865,0.142371469
HSP27_pS82,R,HSBP1,V,GBL1103407,HSP27_pS82-R-V,0.956548448,138,HSP27_pS82-R-V,Median-Centered,-0.039004289,-0.055018713,0.039004289,0.476204914
HSP70,R,HSPA1A,C,GBL1103408,HSP70-R-C,0.955918354,139,HSP70-R-C,Median-Centered,0.025153333,0.186560987,-0.025153333,-0.209799766
IGF1R_pY1135_Y1136,R,IGF1R,V,GBL1103521,IGF1R_pY1135_Y1136-R-V,0.964808864,140,IGF1R_pY1135_Y1136-R-V,Median-Centered,-0.156889969,-0.100238615,0.100238615,0.107431124
IGFBP2,R,IGFBP2,V,GBL1103409,IGFBP2-R-V,0.933464444,141,IGFBP2-R-V,Median-Centered,-2.243314686,-1.693700232,2.127911968,1.693700232
IGFRb,R,IGF1R,C,GBL1103410,IGFRb-R-C,0.963310957,142,IGFRb-R-C,Median-Centered,-0.612411774,-0.259754463,0.259754463,0.515635175
INPP4b,R,INPP4B,V,GBL1103482,INPP4b-R-V,0.939266155,143,INPP4b-R-V,Median-Centered,-0.356487113,-0.23319039,0.23319039,0.324201416
IR-b,R,INSRB,C,GBL1103561,IR-b-R-C,0.973595766,144,IR-b-R-C,Median-Centered,-0.121075413,-0.072906035,0.072906035,0.169087334
IRF-1,R,IRF1,C,GBL1103612,IRF-1-R-C,0.955612803,145,IRF-1-R-C,Median-Centered,-0.026747035,0.011866907,-0.011866907,0.259327473
IRS1,R,IRS1,V,GBL1103452,IRS1-R-V,0.967716561,146,IRS1-R-V,Median-Centered,0.256212265,-0.017314424,-0.088045286,0.017314424
Jagged1,R,JAG1,V,GBL1103553,Jagged1-R-V,0.956022254,147,Jagged1-R-V,Median-Centered,-0.013193902,0.037199694,0.013193902,-0.063174771
Jak2,R,JAK2,V,GBL1103511,Jak2-R-V,0.973430112,148,Jak2-R-V,Median-Centered,0.572879866,0.201007726,-0.201007726,-0.571467934
JNK2,R,MAPK9,C,GBL1103411,JNK2-R-C,0.936277956,149,JNK2-R-C,Median-Centered,0.267422352,0.144238794,-0.144238794,-0.227896187
JNK_pT183_Y185,R,MAPK8,V,GBL1103458,JNK_pT183_Y185-R-V,0.969351611,150,JNK_pT183_Y185-R-V,Median-Centered,-0.180560204,-0.098460172,0.098460172,0.102270849
LC3A-B,R,LC3AB,C,GBL1103566,LC3A-B-R-C,0.952761988,151,LC3A-B-R-C,Median-Centered,-0.098246238,0.09258756,0.146152975,-0.09258756
Lck,R,LCK,V,GBL1103412,Lck-R-V,0.926324993,152,Lck-R-V,Median-Centered,0.043626546,0.027501933,-0.027501933,-0.049935971
LDHA,R,LDHA,C,GBL1103466,LDHA-R-C,0.907699643,153,LDHA-R-C,Median-Centered,1.248271505,0.827965031,-0.827965031,-2.1499306
LRP6_pS1490,R,LRP6,V,GBL1103545,LRP6_pS1490-R-V,0.94836094,154,LRP6_pS1490-R-V,Median-Centered,-0.335683268,-0.270487183,0.270487183,0.368307846
MAPK_pT202_Y204,R,MAPK3,V,GBL1103413,MAPK_pT202_Y204-R-V,0.944693694,155,MAPK_pT202_Y204-R-V,Median-Centered,-0.290045008,-0.123667894,0.123667894,0.219480196
Mcl-1,R,MCL1,V,GBL1103522,Mcl-1-R-V,0.975901264,156,Mcl-1-R-V,Median-Centered,-0.849280892,-0.253757441,0.253757441,0.495615456
MCT4,R,SLC16A4,V,GBL1103572,MCT4-R-V,0.964311324,157,MCT4-R-V,Median-Centered,-0.536402114,-0.601489689,0.536402114,0.788975642
MDM2_pS166,R,MDM2,V,GBL1103510,MDM2_pS166-R-V,0.969982994,158,MDM2_pS166-R-V,Median-Centered,0.342029415,-0.118667474,-0.027621865,0.027621865
MEK1,R,MAP2K1,V,GBL1103414,MEK1-R-V,0.932479392,159,MEK1-R-V,Median-Centered,-0.082644004,-0.153601245,0.6364529,0.082644004
