Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,control,drug-10min,drug-30min,drug-60min
Caspase-8,M,CASP8,Q,GBL1103630,Caspase-8-M-Q,0.891236403,57,Caspase-8-M-Q,NormLog2,0.073985579,0.001155585,0.029533467,0.063979299
Caveolin-1,R,CAV1,V,GBL1103394,Caveolin-1-R-V,0.938693159,58,Caveolin-1-R-V,NormLog2,-0.547393349,-0.169175952,0.261878304,0.205206436
CD171,M,L1CAM,V,GBL1103672,CD171-M-V,0.90212613,59,CD171-M-V,NormLog2,-0.911777129,-0.380239896,0.151882587,0.534348171
CD26,R,DPP4,V,GBL1103534,CD26-R-V,0.961702478,60,CD26-R-V,NormLog2,0.043816901,0.004321408,0.024551778,-0.016869896
CD29,M,CD29,V,GBL1103637,CD29-M-V,0.886622135,61,CD29-M-V,NormLog2,-0.173728675,-0.157004267,0.16496721,0.303715795
CD31,M,PECAM1,V,GBL1103717,CD31-M-V,0.890474201,62,CD31-M-V,NormLog2,-0.418561192,-0.187097749,0.206114568,0.339285956
CD44,M,CD44,C,GBL1103643,CD44-M-C,0.870122455,63,CD44-M-C,NormLog2,-0.184327658,0.012067376,0.012243143,-0.008117337
CD49b,M,ITGA2,V,GBL1103629,CD49b-M-V,0.923955662,64,CD49b-M-V,NormLog2,0.040763984,-0.012176522,0.050208295,0.073805573
cdc25C,R,CDC25C,V,GBL1103595,cdc25C-R-V,0.965646629,65,cdc25C-R-V,NormLog2,0.520489345,0.380944208,-0.89336225,-1.408355222
Cdc2_pY15,R,CDK1,C,GBL1103585,Cdc2_pY15-R-C,0.950071535,66,Cdc2_pY15-R-C,NormLog2,-0.057714158,-0.01473528,0.054121041,-0.07481395
CDK1,R,CDK1,C,GBL1103574,CDK1-R-C,0.960969379,67,CDK1-R-C,NormLog2,0.498349886,0.174801184,-0.508560678,-0.237241247
Chk1,M,CHEK1,C,GBL1103636,Chk1-M-C,0.812529805,68,Chk1-M-C,NormLog2,0.210340733,0.132838148,-0.204871558,-0.374624196
Chk1_pS296,R,CHEK1,V,GBL1103697,Chk1_pS296-R-V,0.936526135,69,Chk1_pS296-R-V,NormLog2,0.101429598,-0.241271078,0.029165995,0.399445416
Chk2,M,CHEK2,V,GBL1103616,Chk2-M-V,0.853784544,70,Chk2-M-V,NormLog2,0.128538944,0.102978435,-0.14630876,-0.597497846
Chk2_pT68,R,CHEK2,C,GBL1103395,Chk2_pT68-R-C,0.94566346,71,Chk2_pT68-R-C,NormLog2,-0.11176275,-0.113946624,0.193453504,0.244277259
Claudin-7,R,CLDN7,V,GBL1103456,Claudin-7-R-V,0.950340783,72,Claudin-7-R-V,NormLog2,0.047477653,-0.32021902,0.324261904,0.479202232
COG3,R,COG3,V,GBL1103573,COG3-R-V,0.973917487,73,COG3-R-V,NormLog2,0.066256257,0.167004549,-0.276545697,-0.245556416
Collagen-VI,R,COL6A1,V,GBL1103601,Collagen-VI-R-V,0.939183223,74,Collagen-VI-R-V,NormLog2,-0.6045065,-0.241586486,0.343362303,0.289858155
Connexin-43,R,GJA1,C,GBL1103558,Connexin-43-R-C,0.945326085,75,Connexin-43-R-C,NormLog2,0.005978355,-0.111569038,0.19037296,-0.279960848
Cox-IV,R,PTGS3,V,GBL1103490,Cox-IV-R-V,0.962427793,76,Cox-IV-R-V,NormLog2,-0.218462823,-0.089407675,0.096724711,0.217507361
Cox2,R,CMC2,C,GBL1103520,Cox2-R-C,0.936694503,77,Cox2-R-C,NormLog2,-0.345561203,-0.178626295,0.273015981,0.287737938
Creb,R,CREB1,C,GBL1103399,Creb-R-C,0.923870465,78,Creb-R-C,NormLog2,-0.126186312,0.049978026,-0.050570422,-0.1278677
Cyclin-B1,R,CCNB1,V,GBL1103371,Cyclin-B1-R-V,0.954359351,79,Cyclin-B1-R-V,NormLog2,0.688464386,0.074427768,-0.093512337,-0.202297706
Cyclin-D1,R,CCND1,V,GBL1103602,Cyclin-D1-R-V,0.969094217,80,Cyclin-D1-R-V,NormLog2,-0.099959776,-0.055245863,0.113817386,0.163101556
Cyclin-D3,M,CCND3,V,GBL1103617,Cyclin-D3-M-V,0.941003827,81,Cyclin-D3-M-V,NormLog2,0.246966615,0.140514055,-0.220521261,-0.354527276
Cyclin-E1,M,CCNE1,V,GBL1103713,Cyclin-E1-M-V,0.933893875,82,Cyclin-E1-M-V,NormLog2,-0.065774387,-0.011832598,0,0.106100734
Cyclophilin-F,M,PPIF,V,GBL1103662,Cyclophilin-F-M-V,0.935838536,83,Cyclophilin-F-M-V,NormLog2,-0.035279573,0.183246392,-0.312538593,-1.129763418
D-a-Tubulin,R,TUBA1A,V,GBL1103547,D-a-Tubulin-R-V,0.950353188,84,D-a-Tubulin-R-V,NormLog2,-0.160466432,-0.047374703,0.102539344,0.097174966
DJ1,R,PARK7,V,GBL1103460,DJ1-R-V,0.970060925,85,DJ1-R-V,NormLog2,0.101125363,0.280625106,-0.559914801,-1.813604515
DM-Histone-H3,R,HISTH3,V,GBL1103548,DM-Histone-H3-R-V,0.91291371,86,DM-Histone-H3-R-V,NormLog2,-1.445726626,-1.346466724,0.820961614,0.717895577
DM-K9-Histone-H3,R,H3K9ME2,C,GBL1103550,DM-K9-Histone-H3-R-C,0.957904282,87,DM-K9-Histone-H3-R-C,NormLog2,-1.385502095,-1.418848765,0.723902567,0.676857741
DUSP4,R,DUSP4,V,GBL1103552,DUSP4-R-V,0.959669577,88,DUSP4-R-V,NormLog2,0.303985734,0.015203531,0.007210682,-0.106662659
E-Cadherin,R,CDH1,V,GBL1103488,E-Cadherin-R-V,0.963418312,89,E-Cadherin-R-V,NormLog2,0.183144044,-0.057167483,0.116548126,0.123546128
E2F1,M,E2F1,V,GBL1103712,E2F1-M-V,0.838473253,90,E2F1-M-V,NormLog2,-0.221938799,-0.172196811,0.228014318,0.321875529
eEF2,R,EEF2,C,GBL1103478,eEF2-R-C,0.952269025,91,eEF2-R-C,NormLog2,0.441800305,0.373416193,-0.864586912,-1.838211229
eEF2K,R,EEF2K,V,GBL1103479,eEF2K-R-V,0.967465521,92,eEF2K-R-V,NormLog2,0.395780418,0.253675575,-0.485361705,-1.148075828
EGFR,R,EGFR,V,GBL1103492,EGFR-R-V,0.944009113,93,EGFR-R-V,NormLog2,0.102662531,0.005459318,0.022754288,0
EGFR_pY1173,R,EGFR,V,GBL1103400,EGFR_pY1173-R-V,0.966026241,94,EGFR_pY1173-R-V,NormLog2,0.001010126,-0.055429923,0.114079327,0.081905795
eIF4E,R,EIF4E,V,GBL1103443,eIF4E-R-V,0.962616379,95,eIF4E-R-V,NormLog2,0.036836225,0.138513591,-0.216418267,-1.366211159
eIF4E_pS209,R,EIF4E,V,GBL1103594,eIF4E_pS209-R-V,0.959154242,96,eIF4E_pS209-R-V,NormLog2,0.066265104,0.105138694,-0.15042689,-0.417272083
eIF4G,R,EIF4G1,C,GBL1103495,eIF4G-R-C,0.974627007,97,eIF4G-R-C,NormLog2,0.482137188,0.20694294,-0.367486797,-0.48576418
Elk1_pS383,R,ELK1,C,GBL1103401,Elk1_pS383-R-C,0.956911365,98,Elk1_pS383-R-C,NormLog2,-0.053586776,-0.060702284,0.121548392,0.12876424
EMA,M,MUC1,C,GBL1103667,EMA-M-C,0.899771926,99,EMA-M-C,NormLog2,0.051786574,-0.050050809,0.106390565,0.125700632
ENY2,M,ENY2,C,GBL1103639,ENY2-M-C,0.915261002,100,ENY2-M-C,NormLog2,-0.091628189,-0.04577885,0.100234413,-0.180496065
ER,R,ESR1,V,GBL1103376,ER-R-V,0.964645043,101,ER-R-V,NormLog2,0.070090104,-0.041138083,0.093496051,0.137047484
ER-a_pS118,R,ESR1,V,GBL1103402,ER-a_pS118-R-V,0.96575645,102,ER-a_pS118-R-V,NormLog2,0.093652188,-0.05476091,-0.067119662,0.169546539
ERCC1,M,ERCC1,V,GBL1103669,ERCC1-M-V,0.936542007,103,ERCC1-M-V,NormLog2,-0.063664002,0.082595744,-0.108314732,-0.077974014
ERCC5,R,ERCC5,C,GBL1103542,ERCC5-R-C,0.970520094,104,ERCC5-R-C,NormLog2,0.360875667,0.106551928,-0.153130681,-0.259572119
Ets-1,R,ETS1,V,GBL1103611,Ets-1-R-V,0.929143544,105,Ets-1-R-V,NormLog2,0.091479798,0.080436812,-0.10437925,-0.079499096
FAK,R,PTK2,C,GBL1103403,FAK-R-C,0.964936365,106,FAK-R-C,NormLog2,0.404561472,0.084885605,-0.112507113,-0.371468799
FAK_pY397,R,PTK2,V,GBL1103524,FAK_pY397-R-V,0.964564059,107,FAK_pY397-R-V,NormLog2,-0.336131387,-0.205340953,0.303661197,0.214427796
FASN,R,FASN,V,GBL1103507,FASN-R-V,0.92937921,108,FASN-R-V,NormLog2,0.320702082,0.287951713,-0.581119295,-1.661225395
Fibronectin,R,FN1,V,GBL1103404,Fibronectin-R-V,0.929732247,109,Fibronectin-R-V,NormLog2,-2.330999843,-2.110851179,1.316720589,1.098312267
FoxM1,R,FOXM1,V,GBL1103494,FoxM1-R-V,0.967139841,110,FoxM1-R-V,NormLog2,0.280914223,-0.013972249,-0.02705879,0.109375776
FoxO3a,R,FOX3,C,GBL1103377,FoxO3a-R-C,0.834037945,111,FoxO3a-R-C,NormLog2,-0.037539085,-0.022547126,0.065958924,0.060075809
FoxO3a_pS318_S321,R,FOXO3,C,GBL1103405,FoxO3a_pS318_S321-R-C,0.967522771,112,FoxO3a_pS318_S321-R-C,NormLog2,-0.085378356,0.055244541,-0.059651908,-0.017905294
FRA-1,R,FOSL1,C,GBL1103610,FRA-1-R-C,0.956319399,113,FRA-1-R-C,NormLog2,0.038697917,-0.027054458,0.072716442,0.10896398
G6PD,R,G6PD,V,GBL1103584,G6PD-R-V,0.899176524,114,G6PD-R-V,NormLog2,0.012757586,0.083318318,-0.109635619,-0.380791995
Gab2,R,GAB2,V,GBL1103465,Gab2-R-V,0.97318718,115,Gab2-R-V,NormLog2,0.725723103,0.036033626,-0.066235703,0.029465891
GAPDH,M,GAPDH,C,GBL1103618,GAPDH-M-C,0.855284525,116,GAPDH-M-C,NormLog2,0.857189502,0.62501969,-2.696931887,-3.499907426
GATA3,M,GATA3,V,GBL1103653,GATA3-M-V,0.869372244,117,GATA3-M-V,NormLog2,0.386881532,-0.013843805,0.028317639,0.10917952
GCLM,R,GCLM,C,GBL1103582,GCLM-R-C,0.925386878,118,GCLM-R-C,NormLog2,0.115097557,-0.055418829,0.114063542,0.154794487
GCN5L2,R,KAT2A,V,GBL1103529,GCN5L2-R-V,0.975669993,119,GCN5L2-R-V,NormLog2,-0.033580927,0.033258575,-0.046107818,0.034093154
Glutamate-D1-2,R,GLUD1,C,GBL1103565,Glutamate-D1-2-R-C,0.843419137,120,Glutamate-D1-2-R-C,NormLog2,0.044804905,0.142857437,-0.225349752,-0.594824858
Glutaminase,R,GLS,C,GBL1103555,Glutaminase-R-C,0.961258713,121,Glutaminase-R-C,NormLog2,0.116755434,0.162475413,-0.266737592,-0.395057705
Granzyme-B,R,GZMB,V,GBL1103589,Granzyme-B-R-V,0.85766479,122,Granzyme-B-R-V,NormLog2,0.388260867,0.246282433,-0.465798158,-0.820041876
GSK-3a-b,M,GSK3A/GSK3B,V,GBL1103714,GSK-3a-b-M-V,0.930990804,123,GSK-3a-b-M-V,NormLog2,-0.316970659,0.079707432,-0.103053426,-0.729733237
GSK-3a-b_pS21_S9,R,GSK3A GSK3B,V,GBL1103406,GSK-3a-b_pS21_S9-R-V,0.974187826,124,GSK-3a-b_pS21_S9-R-V,NormLog2,0.682025299,0.208345387,-0.370834358,-0.521668825
Gys,R,GYS1,V,GBL1103475,Gys-R-V,0.954458733,125,Gys-R-V,NormLog2,0.279876993,0.304427927,-0.630386386,-1.362748782
Gys_pS641,R,GYS1,V,GBL1103476,Gys_pS641-R-V,0.957996503,126,Gys_pS641-R-V,NormLog2,0.577810801,0.212797013,-0.381533651,-0.758754465
H2AX_pS140,M,H2AFX,C,GBL1103645,H2AX_pS140-M-C,0.945164216,127,H2AX_pS140-M-C,NormLog2,0.263954348,-0.009331967,0.045837837,0.013239301
HER2,M,ERBB2,V,GBL1103706,HER2-M-V,0.83424925,128,HER2-M-V,NormLog2,0.165435948,0.042124648,-0.037194163,-0.077379085
HER2_pY1248,R,ERBB2,C,GBL1103483,HER2_pY1248-R-C,0.951328671,129,HER2_pY1248-R-C,NormLog2,-0.681642788,-0.582461493,0.387470239,0.450588282
HER3,R,ERBB3,V,GBL1103608,HER3-R-V,0.958082229,130,HER3-R-V,NormLog2,0.073115987,0.017278013,-0.000125748,0.060285826
HER3_pY1289,R,ERBB3,C,GBL1103445,HER3_pY1289-R-C,0.950370705,131,HER3_pY1289-R-C,NormLog2,0.084240846,0.033502896,-0.022732981,-0.050203863
Heregulin,R,NRG1,V,GBL1103459,Heregulin-R-V,0.97253876,132,Heregulin-R-V,NormLog2,-0.027066896,-0.089093266,0.160664602,0.190924075
HES1,R,HES1,V,GBL1103560,HES1-R-V,0.973827823,133,HES1-R-V,NormLog2,-0.339822673,-0.286202277,0.067551602,0.4459083
Hexokinase-II,R,HK2,V,GBL1103370,Hexokinase-II-R-V,0.94935918,134,Hexokinase-II-R-V,NormLog2,0.038890646,0.103245729,-0.146817336,-0.161354064
Hif-1-alpha,M,HIF1A,C,GBL1103696,Hif-1-alpha-M-C,0.919381154,135,Hif-1-alpha-M-C,NormLog2,-0.041972743,-0.096568579,0.141447744,0.227084767
Histone-H3,R,HIST3H3,V,GBL1103527,Histone-H3-R-V,0.931053308,136,Histone-H3-R-V,NormLog2,-2.707034741,-2.029371714,1.129736356,2.147159405
HSP27,M,HSBP1,C,GBL1103619,HSP27-M-C,0.878781128,137,HSP27-M-C,NormLog2,-0.08798572,-0.005155494,-0.301681472,0.095800862
HSP27_pS82,R,HSBP1,V,GBL1103407,HSP27_pS82-R-V,0.956548448,138,HSP27_pS82-R-V,NormLog2,-0.173330829,-0.189345253,-0.09532225,0.341878374
HSP70,R,HSPA1A,C,GBL1103408,HSP70-R-C,0.955918354,139,HSP70-R-C,NormLog2,-0.071486488,0.089921166,-0.121793153,-0.306439587
IGF1R_pY1135_Y1136,R,IGF1R,V,GBL1103521,IGF1R_pY1135_Y1136-R-V,0.964808864,140,IGF1R_pY1135_Y1136-R-V,NormLog2,-0.124943226,-0.068291871,0.132185358,0.139377868
IGFBP2,R,IGFBP2,V,GBL1103409,IGFBP2-R-V,0.933464444,141,IGFBP2-R-V,NormLog2,-2.743695502,-2.194081047,1.627531153,1.193319417
IGFRb,R,IGF1R,C,GBL1103410,IGFRb-R-C,0.963310957,142,IGFRb-R-C,NormLog2,-0.660641393,-0.307984082,0.211524844,0.467405556
INPP4b,R,INPP4B,V,GBL1103482,INPP4b-R-V,0.939266155,143,INPP4b-R-V,NormLog2,-0.324863614,-0.201566891,0.264813889,0.355824915
IR-b,R,INSRB,C,GBL1103561,IR-b-R-C,0.973595766,144,IR-b-R-C,NormLog2,-0.110251197,-0.06208182,0.08373025,0.179911549
IRF-1,R,IRF1,C,GBL1103612,IRF-1-R-C,0.955612803,145,IRF-1-R-C,NormLog2,-0.102969502,-0.06435556,-0.088089374,0.183105006
IRS1,R,IRS1,V,GBL1103452,IRS1-R-V,0.967716561,146,IRS1-R-V,NormLog2,0.294002826,0.020476138,-0.050254724,0.055104985
Jagged1,R,JAG1,V,GBL1103553,Jagged1-R-V,0.956022254,147,Jagged1-R-V,NormLog2,-0.029073965,0.021319631,-0.002686162,-0.079054835
Jak2,R,JAK2,V,GBL1103511,Jak2-R-V,0.973430112,148,Jak2-R-V,NormLog2,0.52567099,0.15379885,-0.248216603,-0.618676811
JNK2,R,MAPK9,C,GBL1103411,JNK2-R-C,0.936277956,149,JNK2-R-C,NormLog2,0.239545943,0.116362385,-0.172115203,-0.255772596
JNK_pT183_Y185,R,MAPK8,V,GBL1103458,JNK_pT183_Y185-R-V,0.969351611,150,JNK_pT183_Y185-R-V,NormLog2,-0.148906411,-0.066806379,0.130113965,0.133924642
LC3A-B,R,LC3AB,C,GBL1103566,LC3A-B-R-C,0.952761988,151,LC3A-B-R-C,NormLog2,-0.199534398,-0.008700599,0.044864815,-0.19387572
Lck,R,LCK,V,GBL1103412,Lck-R-V,0.926324993,152,Lck-R-V,NormLog2,0.049164907,0.033040294,-0.021963572,-0.04439761
LDHA,R,LDHA,C,GBL1103466,LDHA-R-C,0.907699643,153,LDHA-R-C,NormLog2,0.871789156,0.451482683,-1.20444738,-2.526412949
LRP6_pS1490,R,LRP6,V,GBL1103545,LRP6_pS1490-R-V,0.94836094,154,LRP6_pS1490-R-V,NormLog2,-0.305538059,-0.240341973,0.300632392,0.398453056
MAPK_pT202_Y204,R,MAPK3,V,GBL1103413,MAPK_pT202_Y204-R-V,0.944693694,155,MAPK_pT202_Y204-R-V,NormLog2,-0.271345822,-0.104968707,0.142367081,0.238179383
Mcl-1,R,MCL1,V,GBL1103522,Mcl-1-R-V,0.975901264,156,Mcl-1-R-V,NormLog2,-0.890374725,-0.294851274,0.212663608,0.454521622
MCT4,R,SLC16A4,V,GBL1103572,MCT4-R-V,0.964311324,157,MCT4-R-V,NormLog2,-0.783388998,-0.848476574,0.289415229,0.541988757
MDM2_pS166,R,MDM2,V,GBL1103510,MDM2_pS166-R-V,0.969982994,158,MDM2_pS166-R-V,NormLog2,0.437135469,-0.023561421,0.067484188,0.122727919
MEK1,R,MAP2K1,V,GBL1103414,MEK1-R-V,0.932479392,159,MEK1-R-V,NormLog2,-0.273506726,-0.344463967,0.445590178,-0.108218719
MEK1_pS217_S221,R,MAP2K1,V,GBL1103484,MEK1_pS217_S221-R-V,0.967351941,160,MEK1_pS217_S221-R-V,NormLog2,0.128582078,-0.033629217,0.082479652,-0.094722117
MERIT40_pS29,R,BABAM1,V,GBL1103596,MERIT40_pS29-R-V,0.961295169,161,MERIT40_pS29-R-V,NormLog2,-0.08161826,0.046008363,-0.043784497,-0.136050484
Merlin,R,NF2,C,GBL1103477,Merlin-R-C,0.960039544,162,Merlin-R-C,NormLog2,0.023834861,-0.049665113,0.105836579,-0.011841753
