Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,Control cells,ligand control cells,nanoparticle control cells,drug-treated cells
LC3A-B,R,LC3AB,C,GBL1102610,LC3A-B-R-C,0.948661547,149,LC3A-B-R-C,Median-Centered,-0.128223032,-0.112340049,0.112340049,0.858347096
Lck,R,LCK,V,GBL1102454,Lck-R-V,0.956378854,150,Lck-R-V,Median-Centered,0.025485352,0.024653714,-0.073267929,-0.024653714
LDHA,R,LDHA,C,GBL1102509,LDHA-R-C,0.942391991,151,LDHA-R-C,Median-Centered,0.042152073,0.487500923,-0.042152073,-2.560869509
LRP6_pS1490,R,LRP6,V,GBL1102589,LRP6_pS1490-R-V,0.96246722,152,LRP6_pS1490-R-V,Median-Centered,0.023984461,-0.023984461,-0.069352785,0.549175817
MAPK_pT202_Y204,R,MAPK3,V,GBL1102455,MAPK_pT202_Y204-R-V,0.962702367,153,MAPK_pT202_Y204-R-V,Median-Centered,-0.011899464,-0.008056954,0.008056954,0.323804121
Mcl-1,R,MCL1,V,GBL1102566,Mcl-1-R-V,0.968849493,154,Mcl-1-R-V,Median-Centered,0.012027438,-0.012027438,-0.027288093,0.84446325
MCT4,R,SLC16A4,V,GBL1102616,MCT4-R-V,0.923983701,155,MCT4-R-V,Median-Centered,-0.184731886,0.10321184,-0.049362745,0.049362745
MDM2_pS166,R,MDM2,V,GBL1102554,MDM2_pS166-R-V,0.972542715,156,MDM2_pS166-R-V,Median-Centered,0.080979788,0.109556928,-0.080979788,-0.313360512
MEK1,R,MAP2K1,V,GBL1102456,MEK1-R-V,0.965082963,157,MEK1-R-V,Median-Centered,0.005745283,-0.004412492,0.004412492,-1.428352382
MEK1_pS217_S221,R,MAP2K1,V,GBL1102527,MEK1_pS217_S221-R-V,0.961226396,158,MEK1_pS217_S221-R-V,Median-Centered,0.020750942,-0.020750942,0.188088414,-0.333981453
MERIT40_pS29,R,BABAM1,V,GBL1102640,MERIT40_pS29-R-V,0.944945325,159,MERIT40_pS29-R-V,Median-Centered,0.082715511,-0.012504466,0.012504466,-0.608655594
Merlin,R,NF2,C,GBL1102520,Merlin-R-C,0.961272306,160,Merlin-R-C,Median-Centered,-0.161783933,0.161783933,-0.214623329,0.419955988
MIF,R,MIF,C,GBL1102658,MIF-R-C,0.919516382,161,MIF-R-C,Median-Centered,-0.003800223,0.003800223,-0.104242857,0.041350295
