Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,Control cells,ligand control cells,nanoparticle control cells,drug-treated cells
AMPKa_pT172,R,PRKAA1,C,GBL1102729,AMPKa_pT172-R-C,0.926789291,16,AMPKa_pT172-R-C,RawLog2,3.092464488,3.306364162,3.108739881,-2.04800035
Annexin-VII,M,ANXA7,V,GBL1102679,Annexin-VII-M-V,0.912783951,17,Annexin-VII-M-V,RawLog2,-0.069216873,-0.042188772,-0.538835202,-1.454765295
AR,R,AR,V,GBL1102491,AR-R-V,0.966358854,18,AR-R-V,RawLog2,0.980183042,1.001144125,0.520530851,-1.13688692
ARID1A,R,ARID1A,C,GBL1102598,ARID1A-R-C,0.947515242,19,ARID1A-R-C,RawLog2,3.013369934,3.105672726,2.201551847,-1.225850619
Atg3,R,ATG3,V,GBL1102606,Atg3-R-V,0.961039297,20,Atg3-R-V,RawLog2,0.326519179,0.259885886,0.022852114,-2.300658852
Atg7,R,ATG7,V,GBL1102607,Atg7-R-V,0.968826095,21,Atg7-R-V,RawLog2,0.974727431,0.922013338,0.538850379,-2.627727707
ATM,R,ATM,V,GBL1102587,ATM-R-V,0.954308544,22,ATM-R-V,RawLog2,2.626250473,2.648011132,2.246149332,-0.181042978
ATM_pS1981,R,ATM,V,GBL1102588,ATM_pS1981-R-V,0.95711835,23,ATM_pS1981-R-V,RawLog2,0.094218385,0.027756676,-0.242833888,-1.95229524
ATRX,R,ATRX,C,GBL1102603,ATRX-R-C,0.95647014,24,ATRX-R-C,RawLog2,1.321414048,1.433960623,0.7508697,-0.548732239
ATR_pS428,R,ATR,C,GBL1102630,ATR_pS428-R-C,0.973760449,25,ATR_pS428-R-C,RawLog2,1.675327543,1.578457432,1.507810754,-1.139714011
Aurora-B,R,AIM1,V,GBL1102595,Aurora-B-R-V,0.857902557,26,Aurora-B-R-V,RawLog2,-0.16420765,-0.303606062,-0.975217373,-2.177714858
Axl,R,AXL,V,GBL1102575,Axl-R-V,0.955711039,27,Axl-R-V,RawLog2,3.272168724,3.490552371,2.47474477,0.887073236
b-Actin,R,ACTB,C,GBL1102556,b-Actin-R-C,0.950138023,28,b-Actin-R-C,RawLog2,0.044466802,0.09418028,-0.271205145,-2.196800674
b-Catenin,R,CTNNB1,V,GBL1102426,b-Catenin-R-V,0.869836877,29,b-Catenin-R-V,RawLog2,0.486158838,0.583087037,0.007477511,-2.426055085
b-Catenin_pT41_S45,R,CTNNB1,V,GBL1102557,b-Catenin_pT41_S45-R-V,0.961996046,30,b-Catenin_pT41_S45-R-V,RawLog2,0.559185223,0.497218557,0.293486922,-1.028939281
B-Raf,R,BRAF,C,GBL1102643,B-Raf-R-C,0.958408754,31,B-Raf-R-C,RawLog2,0.524337984,0.53967188,-0.097693114,-2.598855124
B-Raf_pS445,R,BRAF,V,GBL1102430,B-Raf_pS445-R-V,0.914871869,32,B-Raf_pS445-R-V,RawLog2,1.166117698,1.29957994,0.873452773,-1.937671773
B7-H4,R,VTCN1,C,GBL1102625,B7-H4-R-C,0.936864441,33,B7-H4-R-C,RawLog2,-0.428443221,-0.498831878,-0.852519213,-2.501601974
Bad_pS112,R,BAD,V,GBL1102423,Bad_pS112-R-V,0.959577749,34,Bad_pS112-R-V,RawLog2,1.97064787,2.094774561,1.348079489,-1.126083849
Bak,R,BAK1,C,GBL1102424,Bak-R-C,0.948564389,35,Bak-R-C,RawLog2,1.139383817,1.118529567,0.859651966,-0.615658194
BAP1,M,BAP1,V,GBL1102706,BAP1-M-V,0.936042971,36,BAP1-M-V,RawLog2,1.121326439,1.136951603,0.751395158,-1.304108455
Bax,R,BAX,V,GBL1102425,Bax-R-V,0.93706383,37,Bax-R-V,RawLog2,1.569392404,1.704719184,1.346915451,-0.099755842
Bcl-xL,R,BCL2L1,V,GBL1102427,Bcl-xL-R-V,0.92166056,38,Bcl-xL-R-V,RawLog2,2.208082746,2.393612595,2.030587672,0.676173894
Bcl2A1,R,BCL2A1,V,GBL1102577,Bcl2A1-R-V,0.969642335,39,Bcl2A1-R-V,RawLog2,1.095339504,1.163234353,0.74663323,0.04179065
Beclin,G,BECN1,C,GBL1102718,Beclin-G-C,0.937617162,40,Beclin-G-C,RawLog2,0.231496396,0.209315995,-0.046660201,-1.49353521
Bid,R,BID,C,GBL1102428,Bid-R-C,0.946756346,41,Bid-R-C,RawLog2,1.590915903,1.672461685,1.262404624,-1.108833536
Bim,R,BCL2L11,V,GBL1102429,Bim-R-V,0.953628354,42,Bim-R-V,RawLog2,-0.087633921,0.014074049,-0.51295323,-1.826098614
BiP-GRP78,M,HSPA5,C,GBL1102686,BiP-GRP78-M-C,0.912335555,43,BiP-GRP78-M-C,RawLog2,-0.119014188,-0.059636538,-0.557166377,-1.640933648
BRD4,R,BRD4,V,GBL1102601,BRD4-R-V,0.9611395,44,BRD4-R-V,RawLog2,3.626639833,3.609999698,3.214522876,1.168897636
c-Abl,R,ABL1,V,GBL1102600,c-Abl-R-V,0.954390243,45,c-Abl-R-V,RawLog2,1.320154216,1.28677162,1.005264903,-0.240772633
c-IAP2,R,BIRC3,C,GBL1102608,c-IAP2-R-C,0.950823708,46,c-IAP2-R-C,RawLog2,-0.442828539,-0.596120393,-0.962507486,-3.212145861
c-Jun_pS73,R,JUN,V,GBL1102435,c-Jun_pS73-R-V,0.967712016,47,c-Jun_pS73-R-V,RawLog2,1.597425304,1.558464605,1.190319201,-0.674432515
c-Kit,R,KIT,V,GBL1102721,c-Kit-R-V,0.945065516,48,c-Kit-R-V,RawLog2,0.426896948,0.416869759,0.220724425,-1.177498391
c-Met,M,MET,Q,GBL1102671,c-Met-M-Q,0.928289298,49,c-Met-M-Q,RawLog2,0.587687041,0.596257735,0.207034654,-1.042245925
c-Met_pY1234_Y1235,R,MET,V,GBL1102487,c-Met_pY1234_Y1235-R-V,0.933063095,50,c-Met_pY1234_Y1235-R-V,RawLog2,0.271271023,0.214459897,-0.090595845,-1.859522453
c-Myc,R,MYC,C,GBL1102654,c-Myc-R-C,0.957086676,51,c-Myc-R-C,RawLog2,0.598012528,0.610704302,0.116872678,-1.110941177
C-Raf,R,RAF1,C,GBL1102561,C-Raf-R-C,0.952127146,52,C-Raf-R-C,RawLog2,1.935834774,1.873030642,1.50708443,-0.662224444
C-Raf_pS338,R,RAF1,V,GBL1102722,C-Raf_pS338-R-V,0.886832387,53,C-Raf_pS338-R-V,RawLog2,0.528165268,0.425963048,0.345857865,-1.082002843
Caspase-3,R,CASP3,C,GBL1102431,Caspase-3-R-C,0.946313775,54,Caspase-3-R-C,RawLog2,0.95571293,0.98164976,0.533436717,-1.126845068
Caspase-7-cleaved,R,CASP7,C,GBL1102432,Caspase-7-cleaved-R-C,0.937767654,55,Caspase-7-cleaved-R-C,RawLog2,0.233893428,0.201705261,-0.074835283,-1.109117465
Caspase-8,M,CASP8,Q,GBL1102675,Caspase-8-M-Q,0.913163725,56,Caspase-8-M-Q,RawLog2,1.750545037,1.730374621,1.464242202,-0.080853257
Caveolin-1,R,CAV1,V,GBL1102433,Caveolin-1-R-V,0.859682917,57,Caveolin-1-R-V,RawLog2,3.390865841,3.593726837,2.801113454,1.891116358
CD171,M,L1CAM,V,GBL1102717,CD171-M-V,0.881776424,58,CD171-M-V,RawLog2,-1.112301425,-0.6590608,-1.553749247,-2.169518203
CD26,R,DPP4,V,GBL1102578,CD26-R-V,0.957390669,59,CD26-R-V,RawLog2,0.546225545,0.465188315,-0.077954868,-1.6019201
CD29,M,CD29,V,GBL1102682,CD29-M-V,0.857768472,60,CD29-M-V,RawLog2,-0.115487185,-0.06483561,-0.429657609,-0.576474726
CD31,M,PECAM1,V,GBL1102694,CD31-M-V,0.853503803,61,CD31-M-V,RawLog2,-0.63226182,-0.514036328,-1.035776014,-1.857116355
CD44,M,CD44,C,GBL1102688,CD44-M-C,0.858959167,62,CD44-M-C,RawLog2,-0.110362963,-0.05056798,-0.525531565,-1.403371105
CD49b,M,ITGA2,V,GBL1102674,CD49b-M-V,0.92147362,63,CD49b-M-V,RawLog2,1.260442715,1.310762731,0.900232234,-0.15051726
cdc25C,R,CDC25C,V,GBL1102639,cdc25C-R-V,0.953148882,64,cdc25C-R-V,RawLog2,0.879256477,0.759592951,0.418190628,-2.985729085
Cdc2_pY15,R,CDK1,C,GBL1102629,Cdc2_pY15-R-C,0.962044297,65,Cdc2_pY15-R-C,RawLog2,0.397404603,0.197014407,-0.014563542,-2.298670004
CDK1,R,CDK1,C,GBL1102618,CDK1-R-C,0.956918927,66,CDK1-R-C,RawLog2,4.028517369,4.037775852,3.867246733,0.885102387
Chk1,M,CHEK1,C,GBL1102681,Chk1-M-C,0.929232375,67,Chk1-M-C,RawLog2,0.360341893,0.297728294,-0.186428307,-2.157431736
Chk1_pS296,R,CHEK1,V,GBL1102584,Chk1_pS296-R-V,0.960472893,68,Chk1_pS296-R-V,RawLog2,1.387447697,1.308759944,0.673634098,-0.953013446
Chk2,M,CHEK2,V,GBL1102661,Chk2-M-V,0.899160928,69,Chk2-M-V,RawLog2,0.02811797,0.112875828,-0.497591647,-2.41146407
Chk2_pT68,R,CHEK2,C,GBL1102434,Chk2_pT68-R-C,0.952719565,70,Chk2_pT68-R-C,RawLog2,0.79969106,0.763092888,0.528097625,-0.999947901
Claudin-7,R,CLDN7,V,GBL1102499,Claudin-7-R-V,0.914852919,71,Claudin-7-R-V,RawLog2,-0.677330892,-0.47802792,-1.144139783,-1.520279441
COG3,R,COG3,V,GBL1102617,COG3-R-V,0.960909188,72,COG3-R-V,RawLog2,1.158437746,1.097204525,0.896150569,-1.602299518
Collagen-VI,R,COL6A1,V,GBL1102645,Collagen-VI-R-V,0.932507496,73,Collagen-VI-R-V,RawLog2,2.213450218,2.043709449,2.114940904,1.719663059
Connexin-43,R,GJA1,C,GBL1102602,Connexin-43-R-C,0.913478552,74,Connexin-43-R-C,RawLog2,1.559173504,1.590905759,0.736146277,-2.391760787
Cox-IV,R,PTGS3,V,GBL1102736,Cox-IV-R-V,0.854819803,75,Cox-IV-R-V,RawLog2,1.632402643,1.666104434,1.441448021,0.004284326
Cox2,R,CMC2,C,GBL1102564,Cox2-R-C,0.957505427,76,Cox2-R-C,RawLog2,0.349075258,0.751659438,-0.074412665,-0.855970001
Creb,R,CREB1,C,GBL1102723,Creb-R-C,0.848506153,77,Creb-R-C,RawLog2,-0.519706737,-0.550318335,-0.756317801,-2.914091759
Cyclin-B1,R,CCNB1,V,GBL1102417,Cyclin-B1-R-V,0.959635277,78,Cyclin-B1-R-V,RawLog2,3.9654184,3.924851929,3.692218734,0.716043669
Cyclin-D1,R,CCND1,V,GBL1102646,Cyclin-D1-R-V,0.949979472,79,Cyclin-D1-R-V,RawLog2,-0.021817293,0.024507388,-0.348573592,-1.778452106
Cyclin-D3,M,CCND3,V,GBL1102662,Cyclin-D3-M-V,0.917795021,80,Cyclin-D3-M-V,RawLog2,0.946789523,0.717321547,0.70307983,-1.214319523
Cyclin-E1,M,CCNE1,V,GBL1102695,Cyclin-E1-M-V,0.950891369,81,Cyclin-E1-M-V,RawLog2,0.881720257,0.881230794,0.601601945,-0.671859713
Cyclophilin-F,M,PPIF,V,GBL1102707,Cyclophilin-F-M-V,0.86826485,82,Cyclophilin-F-M-V,RawLog2,1.888737352,1.971009491,1.555354402,-1.016126652
D-a-Tubulin,R,TUBA1A,V,GBL1102591,D-a-Tubulin-R-V,0.948218984,83,D-a-Tubulin-R-V,RawLog2,0.480857047,0.435788738,0.133409046,-1.010284802
DJ1,R,PARK7,V,GBL1102503,DJ1-R-V,0.962547054,84,DJ1-R-V,RawLog2,2.07378017,2.065186661,1.797493713,-1.677190014
DM-Histone-H3,R,HISTH3,V,GBL1102592,DM-Histone-H3-R-V,0.929011789,85,DM-Histone-H3-R-V,RawLog2,0.290663402,0.304819911,0.025789821,0.209127877
DM-K9-Histone-H3,R,H3K9ME2,C,GBL1102594,DM-K9-Histone-H3-R-C,0.951830212,86,DM-K9-Histone-H3-R-C,RawLog2,0.891736509,0.946746176,0.515238513,0.552885837
DUSP4,R,DUSP4,V,GBL1102730,DUSP4-R-V,0.819343353,87,DUSP4-R-V,RawLog2,3.373864206,3.651624146,3.005118785,1.016248497
E-Cadherin,R,CDH1,V,GBL1102532,E-Cadherin-R-V,0.947201403,88,E-Cadherin-R-V,RawLog2,-1.634524999,-1.030463707,-2.107757691,-2.163936772
E2F1,M,E2F1,V,GBL1102748,E2F1-M-V,0.800477884,89,E2F1-M-V,RawLog2,-0.703152327,0.10585083,-0.867862709,-0.952763829
eEF2,R,EEF2,C,GBL1102521,eEF2-R-C,0.954977796,90,eEF2-R-C,RawLog2,2.54090059,2.701206182,2.223719186,-1.007794722
eEF2K,R,EEF2K,V,GBL1102522,eEF2K-R-V,0.968731381,91,eEF2K-R-V,RawLog2,1.206553914,1.291423332,0.534570174,-1.67753616
EGFR,R,EGFR,V,GBL1102536,EGFR-R-V,0.927455259,92,EGFR-R-V,RawLog2,1.903513998,1.852135493,1.301405079,-0.133674569
EGFR_pY1173,R,EGFR,V,GBL1102724,EGFR_pY1173-R-V,0.907359855,93,EGFR_pY1173-R-V,RawLog2,0.537568244,0.54342828,0.107467316,-1.440846556
eIF4E,R,EIF4E,V,GBL1102486,eIF4E-R-V,0.945256219,94,eIF4E-R-V,RawLog2,2.478805812,2.48219,2.047328032,-0.867239765
eIF4E_pS209,R,EIF4E,V,GBL1102638,eIF4E_pS209-R-V,0.948095608,95,eIF4E_pS209-R-V,RawLog2,0.224480555,0.176936954,-0.189453783,-2.593227446
eIF4G,R,EIF4G1,C,GBL1102539,eIF4G-R-C,0.956673057,96,eIF4G-R-C,RawLog2,3.051989184,3.150216381,2.089516666,-1.121969506
Elk1_pS383,R,ELK1,C,GBL1102725,Elk1_pS383-R-C,0.92422347,97,Elk1_pS383-R-C,RawLog2,0.613435048,0.653284061,0.371649937,-1.028793386
EMA,M,MUC1,C,GBL1102712,EMA-M-C,0.859819643,98,EMA-M-C,RawLog2,-1.807407956,-0.90766716,-2.221699988,-1.24754446
ENY2,M,ENY2,C,GBL1102684,ENY2-M-C,0.923115173,99,ENY2-M-C,RawLog2,0.081182626,0.130428323,-0.323723845,-1.810422733
ER,R,ESR1,V,GBL1102422,ER-R-V,0.968930001,100,ER-R-V,RawLog2,-1.176157159,-1.267428744,-1.583037346,-2.867353827
ER-a_pS118,R,ESR1,V,GBL1102726,ER-a_pS118-R-V,0.931824132,101,ER-a_pS118-R-V,RawLog2,0.891237243,0.929018235,0.687666118,-0.736112406
ERCC1,M,ERCC1,V,GBL1102714,ERCC1-M-V,0.942702783,102,ERCC1-M-V,RawLog2,0.885411045,0.92665037,0.502997886,-1.186235388
ERCC5,R,ERCC5,C,GBL1102586,ERCC5-R-C,0.965917909,103,ERCC5-R-C,RawLog2,2.276389488,2.234808096,1.706062629,-0.206442385
Ets-1,R,ETS1,V,GBL1102656,Ets-1-R-V,0.935066457,104,Ets-1-R-V,RawLog2,0.812742685,0.862354741,0.431445841,-1.171855321
FAK,R,PTK2,C,GBL1102727,FAK-R-C,0.926569966,105,FAK-R-C,RawLog2,1.350985395,1.560552393,0.758083385,-1.419313856
FAK_pY397,R,PTK2,V,GBL1102568,FAK_pY397-R-V,0.968635192,106,FAK_pY397-R-V,RawLog2,-1.153840396,-1.189615995,-1.623539373,-2.929341221
FASN,R,FASN,V,GBL1102551,FASN-R-V,0.95324506,107,FASN-R-V,RawLog2,1.091370269,1.313724579,0.631744215,-1.338128534
Fibronectin,R,FN1,V,GBL1102446,Fibronectin-R-V,0.928484994,108,Fibronectin-R-V,RawLog2,-0.473472642,-0.530324589,-0.836638945,0.298369922
FoxM1,R,FOXM1,V,GBL1102538,FoxM1-R-V,0.964725866,109,FoxM1-R-V,RawLog2,2.673322408,2.335002571,2.235022442,0.340955902
FoxO3a,R,FOX3,C,GBL1102537,FoxO3a-R-C,0.945597998,110,FoxO3a-R-C,RawLog2,-0.131538128,-0.21975791,-0.611194936,-2.07753097
FoxO3a_pS318_S321,R,FOXO3,C,GBL1102447,FoxO3a_pS318_S321-R-C,0.946218798,111,FoxO3a_pS318_S321-R-C,RawLog2,1.631276152,1.632624193,1.299482944,-0.744054153
FRA-1,R,FOSL1,C,GBL1102655,FRA-1-R-C,0.955083109,112,FRA-1-R-C,RawLog2,2.590162252,2.420280131,2.037512806,0.227067128
G6PD,R,G6PD,V,GBL1102628,G6PD-R-V,0.93962801,113,G6PD-R-V,RawLog2,0.077891466,0.07397133,-0.546763867,-1.931745608
Gab2,R,GAB2,V,GBL1102508,Gab2-R-V,0.973758422,114,Gab2-R-V,RawLog2,0.386292482,0.554764012,-0.593219597,-1.966894036
GAPDH,M,GAPDH,C,GBL1102738,GAPDH-M-C,0.828881661,115,GAPDH-M-C,RawLog2,4.11399748,3.99202056,3.60610431,-0.681142756
GATA3,M,GATA3,V,GBL1102698,GATA3-M-V,0.935655056,116,GATA3-M-V,RawLog2,0.792059258,1.044523014,0.363406868,-0.150507212
GCLM,R,GCLM,C,GBL1102626,GCLM-R-C,0.946066217,117,GCLM-R-C,RawLog2,-0.256997751,-0.295945496,-0.645162876,-2.224879769
GCN5L2,R,KAT2A,V,GBL1102573,GCN5L2-R-V,0.978168483,118,GCN5L2-R-V,RawLog2,1.19082754,1.016385457,0.655400184,-1.275450752
Glutamate-D1-2,R,GLUD1,C,GBL1102609,Glutamate-D1-2-R-C,0.911312277,119,Glutamate-D1-2-R-C,RawLog2,-0.044649235,-0.100631237,-0.479588327,-2.959996989
Glutaminase,R,GLS,C,GBL1102599,Glutaminase-R-C,0.963168863,120,Glutaminase-R-C,RawLog2,1.019209169,0.937693907,0.741883492,-1.545005166
Granzyme-B,R,GZMB,V,GBL1102633,Granzyme-B-R-V,0.950057936,121,Granzyme-B-R-V,RawLog2,-0.034539065,-0.045625626,-0.603408297,-3.299295653
GSK-3a-b,M,GSK3A/GSK3B,V,GBL1102696,GSK-3a-b-M-V,0.950070496,122,GSK-3a-b-M-V,RawLog2,1.433282989,1.434755921,1.217570873,-1.012913353
GSK-3a-b_pS21_S9,R,GSK3A GSK3B,V,GBL1102448,GSK-3a-b_pS21_S9-R-V,0.909682118,123,GSK-3a-b_pS21_S9-R-V,RawLog2,1.608090319,1.59815879,1.3702658,-1.939114113
Gys,R,GYS1,V,GBL1102518,Gys-R-V,0.88020156,124,Gys-R-V,RawLog2,2.91999597,3.104328044,2.633625732,-1.091639305
Gys_pS641,R,GYS1,V,GBL1102519,Gys_pS641-R-V,0.913043854,125,Gys_pS641-R-V,RawLog2,1.321407735,1.299241648,0.718658942,-2.840321923
H2AX_pS140,M,H2AFX,C,GBL1102690,H2AX_pS140-M-C,0.934290635,126,H2AX_pS140-M-C,RawLog2,-0.044800783,0.142947681,-0.536014764,-1.546906594
HER2,M,ERBB2,V,GBL1102703,HER2-M-V,0.931512944,127,HER2-M-V,RawLog2,0.61721015,0.834400445,-0.007259117,-0.813137486
HER2_pY1248,R,ERBB2,C,GBL1102526,HER2_pY1248-R-C,0.948376782,128,HER2_pY1248-R-C,RawLog2,-1.433092885,-1.54172167,-1.940334575,-3.034614505
HER3,R,ERBB3,V,GBL1102653,HER3-R-V,0.956323037,129,HER3-R-V,RawLog2,-0.503409607,-0.536795732,-1.048844,-2.281178668
HER3_pY1289,R,ERBB3,C,GBL1102488,HER3_pY1289-R-C,0.905197385,130,HER3_pY1289-R-C,RawLog2,1.568635015,1.662745082,1.346784141,-0.554215719
Heregulin,R,NRG1,V,GBL1102502,Heregulin-R-V,0.971705276,131,Heregulin-R-V,RawLog2,1.601629124,1.581594979,1.255189498,0.004242913
HES1,R,HES1,V,GBL1102604,HES1-R-V,0.96590541,132,HES1-R-V,RawLog2,0.462063472,0.730478492,0.280547369,-1.644029358
Hexokinase-II,R,HK2,V,GBL1102514,Hexokinase-II-R-V,0.96579341,133,Hexokinase-II-R-V,RawLog2,0.354507254,0.276118953,0.002748016,-1.722525191
Hif-1-alpha,M,HIF1A,C,GBL1102689,Hif-1-alpha-M-C,0.843187985,134,Hif-1-alpha-M-C,RawLog2,-0.211851351,0.028294714,-0.825205793,-2.821476827
Histone-H3,R,HIST3H3,V,GBL1102571,Histone-H3-R-V,0.947459442,135,Histone-H3-R-V,RawLog2,0.142021183,0.383421022,-0.295632502,2.207965414
HSP27,M,HSBP1,C,GBL1102664,HSP27-M-C,0.919512296,136,HSP27-M-C,RawLog2,-0.459232896,-0.397850577,-0.897236053,-2.027061203
HSP70,R,HSPA1A,C,GBL1102450,HSP70-R-C,0.960781464,137,HSP70-R-C,RawLog2,1.054227365,1.085919842,0.805142363,-1.107920767
IGF1R_pY1135_Y1136,R,IGF1R,V,GBL1102565,IGF1R_pY1135_Y1136-R-V,0.967416065,138,IGF1R_pY1135_Y1136-R-V,RawLog2,0.918039086,0.853451723,0.640255025,-0.664907933
IGFBP2,R,IGFBP2,V,GBL1102451,IGFBP2-R-V,0.911041662,139,IGFBP2-R-V,RawLog2,-0.822035731,-0.850946271,-1.285759553,0.332052454
IGFRb,R,IGF1R,C,GBL1102452,IGFRb-R-C,0.875844534,140,IGFRb-R-C,RawLog2,0.642936512,0.89119253,0.1550189,-1.856815318
INPP4b,R,INPP4B,V,GBL1102525,INPP4b-R-V,0.961611945,141,INPP4b-R-V,RawLog2,0.255113095,0.231995706,-0.030701511,-1.314780758
IR-b,R,INSRB,C,GBL1102605,IR-b-R-C,0.963705095,142,IR-b-R-C,RawLog2,0.437696436,0.602584291,0.005192308,-1.002122759
IRF-1,R,IRF1,C,GBL1102657,IRF-1-R-C,0.956759674,143,IRF-1-R-C,RawLog2,0.76732209,0.675207369,0.434059232,-0.948935608
IRS1,R,IRS1,V,GBL1102495,IRS1-R-V,0.940109138,144,IRS1-R-V,RawLog2,0.764933125,0.632718608,0.129918765,-1.646016414
Jagged1,R,JAG1,V,GBL1102597,Jagged1-R-V,0.955302693,145,Jagged1-R-V,RawLog2,1.18552842,1.093917689,0.795242442,-0.841096205
Jak2,R,JAK2,V,GBL1102555,Jak2-R-V,0.9632276,146,Jak2-R-V,RawLog2,1.843781843,1.943012142,1.318362603,-1.254804689
JNK2,R,MAPK9,C,GBL1102453,JNK2-R-C,0.969219784,147,JNK2-R-C,RawLog2,0.990398095,0.949236539,0.568422748,-2.016113224
JNK_pT183_Y185,R,MAPK8,V,GBL1102501,JNK_pT183_Y185-R-V,0.965918296,148,JNK_pT183_Y185-R-V,RawLog2,1.107294101,1.056595248,0.735078096,-0.563303971
LC3A-B,R,LC3AB,C,GBL1102610,LC3A-B-R-C,0.948661547,149,LC3A-B-R-C,RawLog2,0.71192483,0.724509354,0.558448321,-0.386726575
Lck,R,LCK,V,GBL1102454,Lck-R-V,0.956378854,150,Lck-R-V,RawLog2,1.017971728,1.013841631,0.525178856,-1.11738887
LDHA,R,LDHA,C,GBL1102509,LDHA-R-C,0.942391991,151,LDHA-R-C,RawLog2,2.292723795,2.734774186,1.814380058,-2.395519319
LRP6_pS1490,R,LRP6,V,GBL1102589,LRP6_pS1490-R-V,0.96246722,152,LRP6_pS1490-R-V,RawLog2,0.615816928,0.564549547,0.128440092,-0.944213249
MAPK_pT202_Y204,R,MAPK3,V,GBL1102455,MAPK_pT202_Y204-R-V,0.962702367,153,MAPK_pT202_Y204-R-V,RawLog2,0.497166766,0.497710817,0.123083593,-1.252351181
Mcl-1,R,MCL1,V,GBL1102566,Mcl-1-R-V,0.968849493,154,Mcl-1-R-V,RawLog2,1.504891823,1.477538488,1.0715367,0.252106102
MCT4,R,SLC16A4,V,GBL1102616,MCT4-R-V,0.923983701,155,MCT4-R-V,RawLog2,3.149964442,3.43460971,2.891293993,1.298837541
MDM2_pS166,R,MDM2,V,GBL1102554,MDM2_pS166-R-V,0.972542715,156,MDM2_pS166-R-V,RawLog2,2.379384179,2.40466286,1.823385013,-0.100177653
MEK1,R,MAP2K1,V,GBL1102456,MEK1-R-V,0.965082963,157,MEK1-R-V,RawLog2,1.374452887,1.360996653,0.979080505,-2.14486631
MEK1_pS217_S221,R,MAP2K1,V,GBL1102527,MEK1_pS217_S221-R-V,0.961226396,158,MEK1_pS217_S221-R-V,RawLog2,1.547826803,1.50302646,1.321124684,-0.892127124
MERIT40_pS29,R,BABAM1,V,GBL1102640,MERIT40_pS29-R-V,0.944945325,159,MERIT40_pS29-R-V,RawLog2,0.005491254,-0.093027182,-0.458759382,-2.771101384
Merlin,R,NF2,C,GBL1102520,Merlin-R-C,0.961272306,160,Merlin-R-C,RawLog2,0.141843462,0.46211287,-0.305035525,-1.361638149
MIF,R,MIF,C,GBL1102658,MIF-R-C,0.919516382,161,MIF-R-C,RawLog2,0.319716341,0.324018328,-0.174765884,-1.720354674
MIG6,M,ERRFI1,V,GBL1102677,MIG6-M-V,0.951087359,162,MIG6-M-V,RawLog2,2.665999934,2.919724556,2.049921228,0.196916818
