Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,control,drug-10min,drug-30min,drug-60min
CD29,M,CD29,V,GBL1103637,CD29-M-V,0.886622135,61,CD29-M-V,NormLinear,0.886548415,0.896885507,1.121140596,1.234319427
CD31,M,PECAM1,V,GBL1103717,CD31-M-V,0.890474201,62,CD31-M-V,NormLinear,0.748170407,0.878370953,1.15357721,1.265130278
CD44,M,CD44,C,GBL1103643,CD44-M-C,0.870122455,63,CD44-M-C,NormLinear,0.880059116,1.008399548,1.00852241,0.99438929
CD49b,M,ITGA2,V,GBL1103629,CD49b-M-V,0.923955662,64,CD49b-M-V,NormLinear,1.028658412,0.991595396,1.035414405,1.052489305
cdc25C,R,CDC25C,V,GBL1103595,cdc25C-R-V,0.965646629,65,cdc25C-R-V,NormLinear,1.434441711,1.30219383,0.538357993,0.376740954
Cdc2_pY15,R,CDK1,C,GBL1103585,Cdc2_pY15-R-C,0.950071535,66,Cdc2_pY15-R-C,NormLinear,0.960785206,0.989838265,1.038226373,0.949464556
CDK1,R,CDK1,C,GBL1103574,CDK1-R-C,0.960969379,67,CDK1-R-C,NormLinear,1.412596949,1.128808834,0.702923368,0.848366026
Chk1,M,CHEK1,C,GBL1103636,Chk1-M-C,0.812529805,68,Chk1-M-C,NormLinear,1.1569614,1.096448574,0.867615927,0.771306302
Chk1_pS296,R,CHEK1,V,GBL1103697,Chk1_pS296-R-V,0.936526135,69,Chk1_pS296-R-V,NormLinear,1.072836033,0.845999621,1.020422061,1.319000778
Chk2,M,CHEK2,V,GBL1103616,Chk2-M-V,0.853784544,70,Chk2-M-V,NormLinear,1.093186042,1.073988418,0.90355933,0.6608992
Chk2_pT68,R,CHEK2,C,GBL1103395,Chk2_pT68-R-C,0.94566346,71,Chk2_pT68-R-C,NormLinear,0.925456606,0.92405676,1.143497732,1.184499228
Claudin-7,R,CLDN7,V,GBL1103456,Claudin-7-R-V,0.950340783,72,Claudin-7-R-V,NormLinear,1.033456492,0.800948274,1.252023728,1.393972627
COG3,R,COG3,V,GBL1103573,COG3-R-V,0.973917487,73,COG3-R-V,NormLinear,1.046996237,1.122724962,0.825565337,0.843490418
Collagen-VI,R,COL6A1,V,GBL1103601,Collagen-VI-R-V,0.939183223,74,Collagen-VI-R-V,NormLinear,0.657696319,0.845814685,1.268709969,1.222520074
Connexin-43,R,GJA1,C,GBL1103558,Connexin-43-R-C,0.945326085,75,Connexin-43-R-C,NormLinear,1.004152478,0.925580877,1.14105866,0.823613368
Cox-IV,R,PTGS3,V,GBL1103490,Cox-IV-R-V,0.962427793,76,Cox-IV-R-V,NormLinear,0.859480717,0.939908567,1.069343021,1.162722937
Cox2,R,CMC2,C,GBL1103520,Cox2-R-C,0.936694503,77,Cox2-R-C,NormLinear,0.787001776,0.883543889,1.208331228,1.220724751
Creb,R,CREB1,C,GBL1103399,Creb-R-C,0.923870465,78,Creb-R-C,NormLinear,0.916250311,1.035249156,0.965554486,0.91518309
Cyclin-B1,R,CCNB1,V,GBL1103371,Cyclin-B1-R-V,0.954359351,79,Cyclin-B1-R-V,NormLinear,1.611567243,1.052943312,0.937238201,0.869165186
Cyclin-D1,R,CCND1,V,GBL1103602,Cyclin-D1-R-V,0.969094217,80,Cyclin-D1-R-V,NormLinear,0.933059006,0.962430412,1.082087667,1.119691704
Cyclin-D3,M,CCND3,V,GBL1103617,Cyclin-D3-M-V,0.941003827,81,Cyclin-D3-M-V,NormLinear,1.186709336,1.102297812,0.858255284,0.782125878
Cyclin-E1,M,CCNE1,V,GBL1103713,Cyclin-E1-M-V,0.933893875,82,Cyclin-E1-M-V,NormLinear,0.955432338,0.991831811,1,1.076315274
Cyclophilin-F,M,PPIF,V,GBL1103662,Cyclophilin-F-M-V,0.935838536,83,Cyclophilin-F-M-V,NormLinear,0.975842639,1.135436002,0.805223625,0.456990659
D-a-Tubulin,R,TUBA1A,V,GBL1103547,D-a-Tubulin-R-V,0.950353188,84,D-a-Tubulin-R-V,NormLinear,0.894735751,0.96769566,1.073661594,1.069676808
DJ1,R,PARK7,V,GBL1103460,DJ1-R-V,0.970060925,85,DJ1-R-V,NormLinear,1.072609817,1.214721098,0.678342222,0.28447928
DM-Histone-H3,R,HISTH3,V,GBL1103548,DM-Histone-H3-R-V,0.91291371,86,DM-Histone-H3-R-V,NormLinear,0.367107215,0.393253981,1.766583099,1.644781083
DM-K9-Histone-H3,R,H3K9ME2,C,GBL1103550,DM-K9-Histone-H3-R-C,0.957904282,87,DM-K9-Histone-H3-R-C,NormLinear,0.382756267,0.374010644,1.651643781,1.598654015
DUSP4,R,DUSP4,V,GBL1103552,DUSP4-R-V,0.959669577,88,DUSP4-R-V,NormLinear,1.234550399,1.010594008,1.005010575,0.92873399
E-Cadherin,R,CDH1,V,GBL1103488,E-Cadherin-R-V,0.963418312,89,E-Cadherin-R-V,NormLinear,1.135355454,0.961149342,1.084137787,1.08940933
E2F1,M,E2F1,V,GBL1103712,E2F1-M-V,0.838473253,90,E2F1-M-V,NormLinear,0.857412408,0.887490259,1.171221805,1.249954456
eEF2,R,EEF2,C,GBL1103478,eEF2-R-C,0.952269025,91,eEF2-R-C,NormLinear,1.358298259,1.295416651,0.549203638,0.279668325
eEF2K,R,EEF2K,V,GBL1103479,eEF2K-R-V,0.967465521,92,eEF2K-R-V,NormLinear,1.315654263,1.192240738,0.714317957,0.451226647
EGFR,R,EGFR,V,GBL1103492,EGFR-R-V,0.944009113,93,EGFR-R-V,NormLinear,1.073753275,1.00379128,1.015897106,1
EGFR_pY1173,R,EGFR,V,GBL1103400,EGFR_pY1173-R-V,0.966026241,94,EGFR_pY1173-R-V,NormLinear,1.000700412,0.962307633,1.082284153,1.05841528
eIF4E,R,EIF4E,V,GBL1103443,eIF4E-R-V,0.962616379,95,eIF4E-R-V,NormLinear,1.025861683,1.100770407,0.860699617,0.387908647
eIF4E_pS209,R,EIF4E,V,GBL1103594,eIF4E_pS209-R-V,0.959154242,96,eIF4E_pS209-R-V,NormLinear,1.047002657,1.075597788,0.900983824,0.748839228
eIF4G,R,EIF4G1,C,GBL1103495,eIF4G-R-C,0.974627007,97,eIF4G-R-C,NormLinear,1.396811351,1.154239765,0.775131616,0.714118709
Elk1_pS383,R,ELK1,C,GBL1103401,Elk1_pS383-R-C,0.956911365,98,Elk1_pS383-R-C,NormLinear,0.963537836,0.958797276,1.087901842,1.09335677
EMA,M,MUC1,C,GBL1103667,EMA-M-C,0.899771926,99,EMA-M-C,NormLinear,1.036547747,0.965902311,1.076531523,1.091037457
ENY2,M,ENY2,C,GBL1103639,ENY2-M-C,0.915261002,100,ENY2-M-C,NormLinear,0.938463026,0.968766679,1.071947622,0.882399535
ER,R,ESR1,V,GBL1103376,ER-R-V,0.964645043,101,ER-R-V,NormLinear,1.049782246,0.971887962,1.066952575,1.099652342
ER-a_pS118,R,ESR1,V,GBL1103402,ER-a_pS118-R-V,0.96575645,102,ER-a_pS118-R-V,NormLinear,1.067068053,0.962753982,0.954541838,1.124704917
ERCC1,M,ERCC1,V,GBL1103669,ERCC1-M-V,0.936542007,103,ERCC1-M-V,NormLinear,0.956830974,1.058921574,0.927671078,0.947387135
ERCC5,R,ERCC5,C,GBL1103542,ERCC5-R-C,0.970520094,104,ERCC5-R-C,NormLinear,1.28420513,1.076651938,0.899296849,0.83533563
Ets-1,R,ETS1,V,GBL1103611,Ets-1-R-V,0.929143544,105,Ets-1-R-V,NormLinear,1.065462486,1.057338127,0.930205097,0.946386175
FAK,R,PTK2,C,GBL1103403,FAK-R-C,0.964936365,106,FAK-R-C,NormLinear,1.323686495,1.06060364,0.924979237,0.772995114
FAK_pY397,R,PTK2,V,GBL1103524,FAK_pY397-R-V,0.964564059,107,FAK_pY397-R-V,NormLinear,0.792162665,0.867333685,1.234272716,1.160243645
FASN,R,FASN,V,GBL1103507,FASN-R-V,0.92937921,108,FASN-R-V,NormLinear,1.248938192,1.220905648,0.668444972,0.316170486
Fibronectin,R,FN1,V,GBL1103404,Fibronectin-R-V,0.929732247,109,Fibronectin-R-V,NormLinear,0.198746334,0.231510386,2.490992347,2.141040769
FoxM1,R,FOXM1,V,GBL1103494,FoxM1-R-V,0.967139841,110,FoxM1-R-V,NormLinear,1.214964553,0.990361922,0.98141907,1.078761378
FoxO3a,R,FOX3,C,GBL1103377,FoxO3a-R-C,0.834037945,111,FoxO3a-R-C,NormLinear,0.974315495,0.984493014,1.046780478,1.042520541
FoxO3a_pS318_S321,R,FOXO3,C,GBL1103405,FoxO3a_pS318_S321-R-C,0.967522771,112,FoxO3a_pS318_S321-R-C,NormLinear,0.942537317,1.039035208,0.959495597,0.987665695
FRA-1,R,FOSL1,C,GBL1103610,FRA-1-R-C,0.956319399,113,FRA-1-R-C,NormLinear,1.027186337,0.981422017,1.051695051,1.078453505
G6PD,R,G6PD,V,GBL1103584,G6PD-R-V,0.899176524,114,G6PD-R-V,NormLinear,1.008882098,1.059452068,0.926822119,0.768015858
Gab2,R,GAB2,V,GBL1103465,Gab2-R-V,0.97318718,115,Gab2-R-V,NormLinear,1.653729305,1.025291135,0.955126878,1.020634201
GAPDH,M,GAPDH,C,GBL1103618,GAPDH-M-C,0.855284525,116,GAPDH-M-C,NormLinear,1.811505897,1.542231874,0.154220677,0.088394019
GATA3,M,GATA3,V,GBL1103653,GATA3-M-V,0.869372244,117,GATA3-M-V,NormLinear,1.307563972,0.990450099,1.019822193,1.07861464
GCLM,R,GCLM,C,GBL1103582,GCLM-R-C,0.925386878,118,GCLM-R-C,NormLinear,1.08304828,0.962315033,1.082272311,1.113263022
GCN5L2,R,KAT2A,V,GBL1103529,GCN5L2-R-V,0.975669993,119,GCN5L2-R-V,NormLinear,0.976992284,1.023320863,0.968545803,1.023913012
Glutamate-D1-2,R,GLUD1,C,GBL1103565,Glutamate-D1-2-R-C,0.843419137,120,Glutamate-D1-2-R-C,NormLinear,1.031543674,1.104089739,0.855387629,0.662124832
Glutaminase,R,GLS,C,GBL1103555,Glutaminase-R-C,0.961258713,121,Glutaminase-R-C,NormLinear,1.084293583,1.119205853,0.831197032,0.760458959
Granzyme-B,R,GZMB,V,GBL1103589,Granzyme-B-R-V,0.85766479,122,Granzyme-B-R-V,NormLinear,1.308814709,1.186146686,0.724070381,0.566425501
GSK-3a-b,M,GSK3A/GSK3B,V,GBL1103714,GSK-3a-b-M-V,0.930990804,123,GSK-3a-b-M-V,NormLinear,0.802753715,1.056803707,0.93106034,0.603015405
GSK-3a-b_pS21_S9,R,GSK3A GSK3B,V,GBL1103406,GSK-3a-b_pS21_S9-R-V,0.974187826,124,GSK-3a-b_pS21_S9-R-V,NormLinear,1.604390467,1.15536235,0.773335122,0.696565621
Gys,R,GYS1,V,GBL1103475,Gys-R-V,0.954458733,125,Gys-R-V,NormLinear,1.214091364,1.234928853,0.646003378,0.388840721
Gys_pS641,R,GYS1,V,GBL1103476,Gys_pS641-R-V,0.957996503,126,Gys_pS641-R-V,NormLinear,1.492582629,1.158932878,0.76762114,0.591006349
H2AX_pS140,M,H2AFX,C,GBL1103645,H2AX_pS140-M-C,0.945164216,127,H2AX_pS140-M-C,NormLinear,1.20076543,0.993552448,1.032282498,1.00921902
HER2,M,ERBB2,V,GBL1103706,HER2-M-V,0.83424925,128,HER2-M-V,NormLinear,1.121504919,1.029629039,0.974548464,0.947777893
HER2_pY1248,R,ERBB2,C,GBL1103483,HER2_pY1248-R-C,0.951328671,129,HER2_pY1248-R-C,NormLinear,0.623454946,0.66782338,1.308097647,1.366597395
HER3,R,ERBB3,V,GBL1103608,HER3-R-V,0.958082229,130,HER3-R-V,NormLinear,1.051986351,1.012048208,0.999912842,1.042672314
HER3_pY1289,R,ERBB3,C,GBL1103445,HER3_pY1289-R-C,0.950370705,131,HER3_pY1289-R-C,NormLinear,1.060129748,1.023494178,0.984366195,0.965799845
Heregulin,R,NRG1,V,GBL1103459,Heregulin-R-V,0.97253876,132,Heregulin-R-V,NormLinear,0.981413556,0.940113425,1.117801954,1.141494632
HES1,R,HES1,V,GBL1103560,HES1-R-V,0.973827823,133,HES1-R-V,NormLinear,0.790138425,0.820057925,1.04793672,1.36217145
Hexokinase-II,R,HK2,V,GBL1103370,Hexokinase-II-R-V,0.94935918,134,Hexokinase-II-R-V,NormLinear,1.027323567,1.074187419,0.903240865,0.894185425
Hif-1-alpha,M,HIF1A,C,GBL1103696,Hif-1-alpha-M-C,0.919381154,135,Hif-1-alpha-M-C,NormLinear,0.971325847,0.935254833,1.103011433,1.170467411
Histone-H3,R,HIST3H3,V,GBL1103527,Histone-H3-R-V,0.931053308,136,Histone-H3-R-V,NormLinear,0.153144479,0.244961731,2.188187488,4.429547736
HSP27,M,HSBP1,C,GBL1103619,HSP27-M-C,0.878781128,137,HSP27-M-C,NormLinear,0.94083542,0.996432861,0.811306261,1.068658472
HSP27_pS82,R,HSBP1,V,GBL1103407,HSP27_pS82-R-V,0.956548448,138,HSP27_pS82-R-V,NormLinear,0.886792928,0.877003647,0.936063139,1.26740567
HSP70,R,HSPA1A,C,GBL1103408,HSP70-R-C,0.955918354,139,HSP70-R-C,NormLinear,0.951656948,1.064312023,0.919044642,0.808634921
IGF1R_pY1135_Y1136,R,IGF1R,V,GBL1103521,IGF1R_pY1135_Y1136-R-V,0.964808864,140,IGF1R_pY1135_Y1136-R-V,NormLinear,0.917040131,0.953766575,1.095952566,1.101430045
IGFBP2,R,IGFBP2,V,GBL1103409,IGFBP2-R-V,0.933464444,141,IGFBP2-R-V,NormLinear,0.149301907,0.218532378,3.0898379,2.286782915
IGFRb,R,IGF1R,C,GBL1103410,IGFRb-R-C,0.963310957,142,IGFRb-R-C,NormLinear,0.632596995,0.80776969,1.157911382,1.38262082
INPP4b,R,INPP4B,V,GBL1103482,INPP4b-R-V,0.939266155,143,INPP4b-R-V,NormLinear,0.798373858,0.869605584,1.201481046,1.279717099
IR-b,R,INSRB,C,GBL1103561,IR-b-R-C,0.973595766,144,IR-b-R-C,NormLinear,0.926426741,0.957880892,1.059754616,1.132814431
IRF-1,R,IRF1,C,GBL1103612,IRF-1-R-C,0.955612803,145,IRF-1-R-C,NormLinear,0.931114503,0.956372426,0.940767826,1.135324734
IRS1,R,IRS1,V,GBL1103452,IRS1-R-V,0.967716561,146,IRS1-R-V,NormLinear,1.226037262,1.014294176,0.965765797,1.038934704
Jagged1,R,JAG1,V,GBL1103553,Jagged1-R-V,0.956022254,147,Jagged1-R-V,NormLinear,0.980049168,1.014887371,0.998139827,0.946677649
Jak2,R,JAK2,V,GBL1103511,Jak2-R-V,0.973430112,148,Jak2-R-V,NormLinear,1.439602976,1.112494998,0.841936538,0.651267974
JNK2,R,MAPK9,C,GBL1103411,JNK2-R-C,0.936277956,149,JNK2-R-C,NormLinear,1.180621028,1.083998218,0.887540462,0.837538494
JNK_pT183_Y185,R,MAPK8,V,GBL1103458,JNK_pT183_Y185-R-V,0.969351611,150,JNK_pT183_Y185-R-V,NormLinear,0.901933886,0.954749141,1.094380148,1.097274621
LC3A-B,R,LC3AB,C,GBL1103566,LC3A-B-R-C,0.952761988,151,LC3A-B-R-C,NormLinear,0.870831562,0.993987353,1.031586512,0.874253929
Lck,R,LCK,V,GBL1103412,Lck-R-V,0.926324993,152,Lck-R-V,NormLinear,1.034665842,1.023166046,0.984891311,0.969694623
LDHA,R,LDHA,C,GBL1103466,LDHA-R-C,0.907699643,153,LDHA-R-C,NormLinear,1.82993088,1.367444882,0.433935529,0.173569703
LRP6_pS1490,R,LRP6,V,GBL1103545,LRP6_pS1490-R-V,0.94836094,154,LRP6_pS1490-R-V,NormLinear,0.809140388,0.846544625,1.231684192,1.318093813
MAPK_pT202_Y204,R,MAPK3,V,GBL1103413,MAPK_pT202_Y204-R-V,0.944693694,155,MAPK_pT202_Y204-R-V,NormLinear,0.828546274,0.929825111,1.103714534,1.179503241
Mcl-1,R,MCL1,V,GBL1103522,Mcl-1-R-V,0.975901264,156,Mcl-1-R-V,NormLinear,0.539473977,0.815156362,1.158825718,1.370328348
MCT4,R,SLC16A4,V,GBL1103572,MCT4-R-V,0.964311324,157,MCT4-R-V,NormLinear,0.581000376,0.555370875,1.222144803,1.455978203
MDM2_pS166,R,MDM2,V,GBL1103510,MDM2_pS166-R-V,0.969982994,158,MDM2_pS166-R-V,NormLinear,1.353913405,0.983801104,1.047887754,1.088791658
MEK1,R,MAP2K1,V,GBL1103414,MEK1-R-V,0.932479392,159,MEK1-R-V,NormLinear,0.827306186,0.787600555,1.361871117,0.927732818
MEK1_pS217_S221,R,MAP2K1,V,GBL1103484,MEK1_pS217_S221-R-V,0.967351941,160,MEK1_pS217_S221-R-V,NormLinear,1.093218727,0.976959583,1.058836367,0.936452604
MERIT40_pS29,R,BABAM1,V,GBL1103596,MERIT40_pS29-R-V,0.961295169,161,MERIT40_pS29-R-V,NormLinear,0.944997056,1.03240452,0.970106809,0.91000698
Merlin,R,NF2,C,GBL1103477,Merlin-R-C,0.960039544,162,Merlin-R-C,NormLinear,1.016658294,0.966160574,1.076118221,0.991825516
MIF,R,MIF,C,GBL1103613,MIF-R-C,0.924902038,163,MIF-R-C,NormLinear,1.075978028,1.139356497,0.798949584,0.769052231
MIG6,M,ERRFI1,V,GBL1103632,MIG6-M-V,0.940768643,164,MIG6-M-V,NormLinear,1.173760252,1.061491564,0.923558275,0.781837632
MMP2,R,MMP2,V,GBL1103415,MMP2-R-V,0.940820366,165,MMP2-R-V,NormLinear,0.955505088,0.994367659,1.030977901,1.032610875
Mnk1,R,MKNK1,V,GBL1103468,Mnk1-R-V,0.959055829,166,Mnk1-R-V,NormLinear,1.040435022,0.961956919,1.082845407,0.81610444
